,Unnamed: 0,Dates,Headlines,Links,Last0,TradeTime0,Last20,TradeTime20,Last60,TradeTime60,Last120,TradeTime120
0,0,2017-02-28 20:55:13,Target pledges to reinvest in business after weak quarter,http://us.rd.yahoo.com/finance/news/rss/story/*http://sg.finance.yahoo.com/news/target-misses-street-4q-forecasts-113729782.html,61.85,2017-02-28 20:55:00,61.83,2017-02-28 21:00:00,61.83,2017-02-28 21:00:00,61.83,2017-02-28 21:00:00
1,1,2017-02-28 20:55:13,Target pledges to reinvest in business after weak quarter,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/news/target-misses-street-4q-forecasts-113729530.html,61.85,2017-02-28 20:55:00,61.83,2017-02-28 21:00:00,61.83,2017-02-28 21:00:00,61.83,2017-02-28 21:00:00
2,2,2017-02-28 20:44:25,Get Paid While You Wait: 3 Top Dividend Stocks in Big Pharma,http://us.rd.yahoo.com/finance/external/mfool/rss/SIG=132golg4o/*http://www.fool.com/investing/2017/02/28/get-paid-while-you-wait-3-top-dividend-stocks-in-b.aspx,61.78,2017-02-28 20:44:00,61.83,2017-02-28 21:00:00,61.83,2017-02-28 21:00:00,61.83,2017-02-28 21:00:00
3,3,2017-02-28 19:15:43,AbbVie Regimen Recommended for HCV Infection,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/news/abbvie-regimen-recommended-hcv-infection-191543796.html,61.84,2017-02-28 19:16:00,61.77,2017-02-28 19:36:00,61.9,2017-02-28 20:16:00,61.83,2017-02-28 21:00:00
4,4,2017-02-28 17:06:12,What Drove Nordstrom?s Earnings in Fiscal 4Q16?,http://us.rd.yahoo.com/finance/external/marketrealist/rss/SIG=129t1c0jo/*http://marketrealist.com/2017/02/drove-nordstroms-earnings-fiscal-4q16/?utm_source=yahoo&utm_medium=feed,62.12,2017-02-28 17:06:00,61.74,2017-02-28 17:26:00,61.91,2017-02-28 18:06:00,61.91,2017-02-28 19:06:00
5,5,2017-02-28 16:46:00,"A Memorable 2017, But Not in a Good Way; Why It Could Be Year of Retail Bankruptcies",http://us.rd.yahoo.com/finance/external/tsmfe/rss/SIG=1447jn2bo/*https://www.thestreet.com/story/14013732/1/a-memorable-2017-but-not-in-a-good-way-why-it-could-be-year-of-retail-bankruptcies.html?puc=yahoo&cm_ven=YAHOO,62.19,2017-02-28 16:46:00,62.12,2017-02-28 17:06:00,61.73,2017-02-28 17:46:00,61.96,2017-02-28 18:46:00
6,6,2017-02-28 16:41:48,Why Trump's budget math doesn't add up,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/news/why-trumps-budget-math-doesnt-add-up-164148167.html,62.2,2017-02-28 16:42:00,62.15,2017-02-28 17:01:00,61.77,2017-02-28 17:42:00,61.9,2017-02-28 18:42:00
7,7,2017-02-28 15:46:08,Aytu BioScience May Lead the Way in Low T,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/news/aytu-bioscience-may-lead-way-154608653.html,62.09,2017-02-28 15:46:00,62.22,2017-02-28 16:06:00,62.19,2017-02-28 16:46:00,61.73,2017-02-28 17:46:00
8,0,2017-02-27 20:38:00,"Near an All-Time Low, Is J.C. Penney a Buy?",http://us.rd.yahoo.com/finance/external/mfool/rss/SIG=12n73tir0/*http://www.fool.com/investing/2017/02/27/near-an-all-time-low-is-jc-penney-a-buy.aspx,62.31,2017-02-27 20:37:00,62.24,2017-02-27 20:58:00,62.21,2017-02-27 21:00:00,62.21,2017-02-27 21:00:00
9,1,2017-02-27 17:27:00,Walls Fargo analyst: Why we're optimistic on retail,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/video/walls-fargo-analyst-why-were-172700141.html,61.88,2017-02-27 17:27:00,61.93,2017-02-27 17:47:00,62.07,2017-02-27 18:27:00,61.72,2017-02-27 19:27:00
