,Unnamed: 0,Dates,Headlines,Links,Last0,TradeTime0,Last20,TradeTime20,Last60,TradeTime60,Last120,TradeTime120
0,0,2017-02-28 20:55:13,Target pledges to reinvest in business after weak quarter,http://us.rd.yahoo.com/finance/news/rss/story/*http://sg.finance.yahoo.com/news/target-misses-street-4q-forecasts-113729782.html,180.19,2017-02-28 20:55:00,180.21,2017-02-28 21:00:00,180.21,2017-02-28 21:00:00,180.21,2017-02-28 21:00:00
1,1,2017-02-28 20:55:13,Target pledges to reinvest in business after weak quarter,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/news/target-misses-street-4q-forecasts-113729530.html,180.19,2017-02-28 20:55:00,180.21,2017-02-28 21:00:00,180.21,2017-02-28 21:00:00,180.21,2017-02-28 21:00:00
2,2,2017-02-28 20:50:36,Boeing Roundup: Partners with NanoRacks on satellites? 787 Dreamliner hits an order milestone,http://us.rd.yahoo.com/finance/external/bizj/rss/SIG=128kstfhe/*http://www.bizjournals.com/chicago/news/2017/02/28/boeing-roundup.html?ana=yahoo,180.08,2017-02-28 20:51:00,180.21,2017-02-28 21:00:00,180.21,2017-02-28 21:00:00,180.21,2017-02-28 21:00:00
3,3,2017-02-28 18:22:05,NASA inks deal with Boeing for extra rides for astronauts,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/news/nasa-inks-deal-boeing-extra-182205577.html,180.7,2017-02-28 18:22:00,180.51,2017-02-28 18:42:00,179.94,2017-02-28 19:22:00,179.9,2017-02-28 20:22:00
4,4,2017-02-28 18:02:51,Trump's Defense Spending Push May Start With the Boeing Super Hornet,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/news/trumps-defense-spending-push-may-180251841.html,180.63,2017-02-28 18:03:00,180.7,2017-02-28 18:22:00,180.3,2017-02-28 19:03:00,179.99,2017-02-28 20:02:00
5,5,2017-02-28 17:20:12,?Boeing and Airbus have slow starts to 2017 order race,http://us.rd.yahoo.com/finance/external/bizj/rss/SIG=13ae6a96n/*http://www.bizjournals.com/wichita/news/2017/02/28/boeing-and-airbus-have-slow-starts-to-2017-order.html?ana=yahoo,181.02,2017-02-28 17:20:00,180.71,2017-02-28 17:40:00,180.66,2017-02-28 18:20:00,179.98,2017-02-28 19:20:00
6,6,2017-02-28 17:06:12,What Drove Nordstrom?s Earnings in Fiscal 4Q16?,http://us.rd.yahoo.com/finance/external/marketrealist/rss/SIG=129t1c0jo/*http://marketrealist.com/2017/02/drove-nordstroms-earnings-fiscal-4q16/?utm_source=yahoo&utm_medium=feed,181.31,2017-02-28 17:07:00,180.88,2017-02-28 17:26:00,180.7,2017-02-28 18:06:00,180.26,2017-02-28 19:06:00
7,7,2017-02-28 16:46:00,"A Memorable 2017, But Not in a Good Way; Why It Could Be Year of Retail Bankruptcies",http://us.rd.yahoo.com/finance/external/tsmfe/rss/SIG=1447jn2bo/*https://www.thestreet.com/story/14013732/1/a-memorable-2017-but-not-in-a-good-way-why-it-could-be-year-of-retail-bankruptcies.html?puc=yahoo&cm_ven=YAHOO,181.84,2017-02-28 16:46:00,181.54,2017-02-28 17:05:00,180.9,2017-02-28 17:45:00,180.47,2017-02-28 18:46:00
8,8,2017-02-28 16:41:48,Why Trump's budget math doesn't add up,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/news/why-trumps-budget-math-doesnt-add-up-164148167.html,181.56,2017-02-28 16:42:00,181.47,2017-02-28 17:02:00,180.75,2017-02-28 17:42:00,180.51,2017-02-28 18:42:00
9,9,2017-02-28 15:01:00,Boeing's Ascent Has Further Lift,http://us.rd.yahoo.com/finance/external/tsmfe/rss/SIG=12kdlsrm5/*http://realmoney.thestreet.com/articles/02/28/2017/boeings-ascent-has-further-lift?puc=yahoo&cm_ven=YAHOO,180.55,2017-02-28 15:01:00,181.01,2017-02-28 15:21:00,181.27,2017-02-28 16:01:00,181.45,2017-02-28 17:00:00
10,10,2017-02-28 14:45:00,"Defense Contractors on the Rise as Trump Pledges ""Historic Increase"" in Spending: Today's Research Reports on Boeing and Lockheed Martin",http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/news/defense-contractors-rise-trump-pledges-144500690.html,180.82,2017-02-28 14:44:00,180.65,2017-02-28 15:04:00,181.0,2017-02-28 15:45:00,181.81,2017-02-28 16:45:00
11,0,2017-02-27 20:38:00,"Near an All-Time Low, Is J.C. Penney a Buy?",http://us.rd.yahoo.com/finance/external/mfool/rss/SIG=12n73tir0/*http://www.fool.com/investing/2017/02/27/near-an-all-time-low-is-jc-penney-a-buy.aspx,179.52,2017-02-27 20:37:00,179.41,2017-02-27 20:57:00,179.44,2017-02-27 21:00:00,179.44,2017-02-27 21:00:00
12,1,2017-02-27 17:32:24,"Lockheed, Northrop, Raytheon Rally As Trump Seeks Defense Budget Boost",http://us.rd.yahoo.com/finance/external/investors/rss/SIG=13f131j7s/*http://www.investors.com/news/a-fiscal-hawk-is-in-charge-of-the-budget-but-trump-will-raise-defense-spending/,178.74,2017-02-27 17:32:00,178.79,2017-02-27 17:53:00,179.23,2017-02-27 18:32:00,179.75,2017-02-27 19:32:00
13,2,2017-02-27 17:27:00,Walls Fargo analyst: Why we're optimistic on retail,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/video/walls-fargo-analyst-why-were-172700141.html,178.67,2017-02-27 17:27:00,178.7,2017-02-27 17:47:00,179.19,2017-02-27 18:27:00,179.64,2017-02-27 19:27:00
14,3,2017-02-27 17:24:39,"Stocks turn positive, Dow, S&P 500 hit records after Trump talks defense, infrastructure, taxes",http://us.rd.yahoo.com/finance/external/bizj/rss/SIG=13ctq4q9k/*http://www.bizjournals.com/phoenix/news/2017/02/27/stocks-turn-positive-dow-s-p-500-hit-records-after.html?ana=yahoo,178.67,2017-02-27 17:25:00,178.71,2017-02-27 17:45:00,179.14,2017-02-27 18:25:00,179.58,2017-02-27 19:25:00
15,4,2017-02-27 16:05:34,Trump stokes rally in defense stocks toward record highs,http://us.rd.yahoo.com/finance/external/cbsm/rss/SIG=11iiumket/*http://www.marketwatch.com/News/Story/Story.aspx?guid=EB045C83-F76F-4FF9-9DCC-ABB6AA234321&siteid=yhoof2,179.02,2017-02-27 16:06:00,178.94,2017-02-27 16:26:00,178.66,2017-02-27 17:05:00,178.77,2017-02-27 18:06:00
16,5,2017-02-27 15:14:35,"Stocks to watch as Dow, S&P, Nasdaq open down as investors wait for more Trump tax, spending talk",http://us.rd.yahoo.com/finance/external/bizj/rss/SIG=138737464/*http://www.bizjournals.com/phoenix/news/2017/02/27/stocks-to-watch-as-dow-s-p-nasdaq-open-down-as.html?ana=yahoo,178.79,2017-02-27 15:15:00,179.15,2017-02-27 15:35:00,178.81,2017-02-27 16:15:00,178.66,2017-02-27 17:15:00
