,Unnamed: 0,Dates,Headlines,Links,Last0,TradeTime0,Last20,TradeTime20,Last60,TradeTime60,Last120,TradeTime120
0,0,2017-02-28 20:55:13,Target pledges to reinvest in business after weak quarter,http://us.rd.yahoo.com/finance/news/rss/story/*http://sg.finance.yahoo.com/news/target-misses-street-4q-forecasts-113729782.html,102.74,2017-02-28 20:55:00,102.9,2017-02-28 21:00:00,102.9,2017-02-28 21:00:00,102.9,2017-02-28 21:00:00
1,1,2017-02-28 20:55:13,Target pledges to reinvest in business after weak quarter,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/news/target-misses-street-4q-forecasts-113729530.html,102.74,2017-02-28 20:55:00,102.9,2017-02-28 21:00:00,102.9,2017-02-28 21:00:00,102.9,2017-02-28 21:00:00
2,2,2017-02-28 18:27:16,Demand For Snap IPO Shares Strong; 'Multiple Times Oversubscribed',http://us.rd.yahoo.com/finance/external/investors/rss/SIG=13bp11s7c/*http://www.investors.com/news/technology/demand-for-snap-ipo-shares-strong-multiple-times-oversubscribed/,102.48,2017-02-28 18:27:00,102.53,2017-02-28 18:47:00,102.78,2017-02-28 19:28:00,102.61,2017-02-28 20:27:00
3,3,2017-02-28 17:06:12,What Drove Nordstrom?s Earnings in Fiscal 4Q16?,http://us.rd.yahoo.com/finance/external/marketrealist/rss/SIG=129t1c0jo/*http://marketrealist.com/2017/02/drove-nordstroms-earnings-fiscal-4q16/?utm_source=yahoo&utm_medium=feed,102.47,2017-02-28 17:06:00,102.05,2017-02-28 17:26:00,102.5,2017-02-28 18:06:00,102.77,2017-02-28 19:06:00
4,4,2017-02-28 16:50:15,Witness Investors Overpaying for Weibo,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/news/witness-investors-overpaying-weibo-165015323.html,102.51,2017-02-28 16:50:00,102.44,2017-02-28 17:10:00,102.4,2017-02-28 17:50:00,102.52,2017-02-28 18:50:00
5,5,2017-02-28 16:46:00,"A Memorable 2017, But Not in a Good Way; Why It Could Be Year of Retail Bankruptcies",http://us.rd.yahoo.com/finance/external/tsmfe/rss/SIG=1447jn2bo/*https://www.thestreet.com/story/14013732/1/a-memorable-2017-but-not-in-a-good-way-why-it-could-be-year-of-retail-bankruptcies.html?puc=yahoo&cm_ven=YAHOO,102.53,2017-02-28 16:46:00,102.47,2017-02-28 17:06:00,102.43,2017-02-28 17:45:00,102.47,2017-02-28 18:46:00
6,6,2017-02-28 16:41:48,Why Trump's budget math doesn't add up,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/news/why-trumps-budget-math-doesnt-add-up-164148167.html,102.52,2017-02-28 16:42:00,102.46,2017-02-28 17:01:00,102.37,2017-02-28 17:42:00,102.35,2017-02-28 18:42:00
7,0,2017-02-27 20:38:00,"Near an All-Time Low, Is J.C. Penney a Buy?",http://us.rd.yahoo.com/finance/external/mfool/rss/SIG=12n73tir0/*http://www.fool.com/investing/2017/02/27/near-an-all-time-low-is-jc-penney-a-buy.aspx,103.79,2017-02-27 20:38:00,103.61,2017-02-27 20:58:00,103.61,2017-02-27 21:00:00,103.61,2017-02-27 21:00:00
8,1,2017-02-27 19:43:00,Chinese 'Taobao villages' are turning poor communities into huge online retail hubs,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/news/chinese-taobao-villages-turning-poor-194300651.html,103.5,2017-02-27 19:43:00,103.59,2017-02-27 20:03:00,103.75,2017-02-27 20:43:00,103.61,2017-02-27 21:00:00
9,2,2017-02-27 19:43:00,Alibaba Blames Lax Enforcement for Counterfeits,http://us.rd.yahoo.com/finance/external/investopedia/rss/SIG=12ftbk3jb/*http://www.investopedia.com/news/alibaba-blames-lax-enforcement-counterfeits/?partner=YahooSA,103.5,2017-02-27 19:43:00,103.59,2017-02-27 20:03:00,103.75,2017-02-27 20:43:00,103.61,2017-02-27 21:00:00
10,3,2017-02-27 18:56:40,Alibaba blames Chinese authorities for lack of action on counterfeiters,http://us.rd.yahoo.com/finance/external/cnbc/rss/SIG=1125metok/*http://www.cnbc.com/id/104307403?__source=yahoo%7cfinance%7cheadline%7cheadline%7cstory&par=yahoo&doc=104307403,103.45,2017-02-27 18:57:00,103.47,2017-02-27 19:17:00,103.56,2017-02-27 19:57:00,103.61,2017-02-27 20:57:00
11,4,2017-02-27 17:27:00,Walls Fargo analyst: Why we're optimistic on retail,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/video/walls-fargo-analyst-why-were-172700141.html,103.28,2017-02-27 17:27:00,103.28,2017-02-27 17:47:00,103.46,2017-02-27 18:27:00,103.65,2017-02-27 19:27:00
