,Unnamed: 0,Dates,Headlines,Links,Last0,TradeTime0,Last20,TradeTime20,Last60,TradeTime60,Last120,TradeTime120
0,0,2017-02-28 20:55:13,Target pledges to reinvest in business after weak quarter,http://us.rd.yahoo.com/finance/news/rss/story/*http://sg.finance.yahoo.com/news/target-misses-street-4q-forecasts-113729782.html,24.66,2017-02-28 20:56:00,24.67,2017-02-28 21:00:00,24.67,2017-02-28 21:00:00,24.67,2017-02-28 21:00:00
1,1,2017-02-28 20:55:13,Target pledges to reinvest in business after weak quarter,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/news/target-misses-street-4q-forecasts-113729530.html,24.66,2017-02-28 20:56:00,24.67,2017-02-28 21:00:00,24.67,2017-02-28 21:00:00,24.67,2017-02-28 21:00:00
2,2,2017-02-28 19:57:31,Larry Summers: Banks with high capital levels can still fail,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/news/larry-summers-banks-with-high-capital-levels-can-still-fail-195731217.html,24.61,2017-02-28 19:57:00,24.58,2017-02-28 20:18:00,24.69,2017-02-28 20:58:00,24.67,2017-02-28 21:00:00
3,3,2017-02-28 18:26:22,Billionaire Louis Bacon?s Moore Capital Bets on Technology and Finance Stocks This Quarter,http://us.rd.yahoo.com/finance/external/xinsidermonkey/rss/SIG=145a50t29/*http://www.insidermonkey.com/blog/billionaire-louis-bacons-moore-capital-bets-on-technology-and-finance-stocks-this-quarter-560556/,24.56,2017-02-28 18:26:00,24.59,2017-02-28 18:46:00,24.59,2017-02-28 19:26:00,24.6,2017-02-28 20:26:00
4,4,2017-02-28 17:07:28,Algebris CEO Says U.S. Banks May Buy European Firms Soon,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/video/algebris-ceo-says-u-banks-170728196.html,24.51,2017-02-28 17:07:00,24.46,2017-02-28 17:27:00,24.61,2017-02-28 18:07:00,24.61,2017-02-28 19:08:00
5,5,2017-02-28 17:06:12,What Drove Nordstrom?s Earnings in Fiscal 4Q16?,http://us.rd.yahoo.com/finance/external/marketrealist/rss/SIG=129t1c0jo/*http://marketrealist.com/2017/02/drove-nordstroms-earnings-fiscal-4q16/?utm_source=yahoo&utm_medium=feed,24.54,2017-02-28 17:06:00,24.43,2017-02-28 17:26:00,24.59,2017-02-28 18:06:00,24.61,2017-02-28 19:06:00
6,6,2017-02-28 16:46:00,"A Memorable 2017, But Not in a Good Way; Why It Could Be Year of Retail Bankruptcies",http://us.rd.yahoo.com/finance/external/tsmfe/rss/SIG=1447jn2bo/*https://www.thestreet.com/story/14013732/1/a-memorable-2017-but-not-in-a-good-way-why-it-could-be-year-of-retail-bankruptcies.html?puc=yahoo&cm_ven=YAHOO,24.53,2017-02-28 16:46:00,24.54,2017-02-28 17:06:00,24.44,2017-02-28 17:46:00,24.59,2017-02-28 18:46:00
7,7,2017-02-28 16:41:48,Why Trump's budget math doesn't add up,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/news/why-trumps-budget-math-doesnt-add-up-164148167.html,24.52,2017-02-28 16:42:00,24.56,2017-02-28 17:02:00,24.49,2017-02-28 17:41:00,24.59,2017-02-28 18:42:00
8,0,2017-02-27 20:38:00,"Near an All-Time Low, Is J.C. Penney a Buy?",http://us.rd.yahoo.com/finance/external/mfool/rss/SIG=12n73tir0/*http://www.fool.com/investing/2017/02/27/near-an-all-time-low-is-jc-penney-a-buy.aspx,24.62,2017-02-27 20:38:00,24.59,2017-02-27 20:58:00,24.57,2017-02-27 21:00:00,24.57,2017-02-27 21:00:00
9,1,2017-02-27 17:27:00,Walls Fargo analyst: Why we're optimistic on retail,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/video/walls-fargo-analyst-why-were-172700141.html,24.48,2017-02-27 17:27:00,24.48,2017-02-27 17:47:00,24.58,2017-02-27 18:27:00,24.63,2017-02-27 19:27:00
10,2,2017-02-27 16:54:26,Warren Buffett Comments on Bank of America,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/news/warren-buffett-comments-bank-america-165426939.html,24.41,2017-02-27 16:54:00,24.52,2017-02-27 17:14:00,24.49,2017-02-27 17:54:00,24.61,2017-02-27 18:54:00
11,3,2017-02-27 15:21:38,BAML's Harris Says Fed Has Case for March Rate Hike,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/video/bamls-harris-says-fed-case-152138721.html,24.42,2017-02-27 15:22:00,24.48,2017-02-27 15:42:00,24.42,2017-02-27 16:22:00,24.47,2017-02-27 17:22:00
