,Unnamed: 0,Dates,Headlines,Links,Last0,TradeTime0,Last20,TradeTime20,Last60,TradeTime60,Last120,TradeTime120
0,0,2017-02-28 20:55:13,Target pledges to reinvest in business after weak quarter,http://us.rd.yahoo.com/finance/news/rss/story/*http://sg.finance.yahoo.com/news/target-misses-street-4q-forecasts-113729782.html,56.74,2017-02-28 20:55:00,56.7,2017-02-28 21:00:00,56.7,2017-02-28 21:00:00,56.7,2017-02-28 21:00:00
1,1,2017-02-28 20:55:13,Target pledges to reinvest in business after weak quarter,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/news/target-misses-street-4q-forecasts-113729530.html,56.74,2017-02-28 20:55:00,56.7,2017-02-28 21:00:00,56.7,2017-02-28 21:00:00,56.7,2017-02-28 21:00:00
2,2,2017-02-28 20:05:48,Why AstraZeneca?s Revenues Are Expected to Fall in 2017,http://us.rd.yahoo.com/finance/external/marketrealist/rss/SIG=12j8iiuml/*http://marketrealist.com/2017/02/astrazeneca-expected-witness-drop-revenues-2017/?utm_source=yahoo&utm_medium=feed,56.71,2017-02-28 20:06:00,56.73,2017-02-28 20:26:00,56.7,2017-02-28 21:00:00,56.7,2017-02-28 21:00:00
3,3,2017-02-28 17:06:12,What Drove Nordstrom?s Earnings in Fiscal 4Q16?,http://us.rd.yahoo.com/finance/external/marketrealist/rss/SIG=129t1c0jo/*http://marketrealist.com/2017/02/drove-nordstroms-earnings-fiscal-4q16/?utm_source=yahoo&utm_medium=feed,56.71,2017-02-28 17:06:00,56.44,2017-02-28 17:26:00,56.61,2017-02-28 18:07:00,56.64,2017-02-28 19:06:00
4,4,2017-02-28 16:46:00,"A Memorable 2017, But Not in a Good Way; Why It Could Be Year of Retail Bankruptcies",http://us.rd.yahoo.com/finance/external/tsmfe/rss/SIG=1447jn2bo/*https://www.thestreet.com/story/14013732/1/a-memorable-2017-but-not-in-a-good-way-why-it-could-be-year-of-retail-bankruptcies.html?puc=yahoo&cm_ven=YAHOO,56.6,2017-02-28 16:46:00,56.71,2017-02-28 17:06:00,56.53,2017-02-28 17:45:00,56.67,2017-02-28 18:46:00
5,5,2017-02-28 16:41:48,Why Trump's budget math doesn't add up,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/news/why-trumps-budget-math-doesnt-add-up-164148167.html,56.6,2017-02-28 16:42:00,56.68,2017-02-28 17:02:00,56.58,2017-02-28 17:42:00,56.64,2017-02-28 18:42:00
6,0,2017-02-27 20:38:00,"Near an All-Time Low, Is J.C. Penney a Buy?",http://us.rd.yahoo.com/finance/external/mfool/rss/SIG=12n73tir0/*http://www.fool.com/investing/2017/02/27/near-an-all-time-low-is-jc-penney-a-buy.aspx,56.72,2017-02-27 20:38:00,56.58,2017-02-27 20:58:00,56.57,2017-02-27 21:00:00,56.57,2017-02-27 21:00:00
7,1,2017-02-27 20:35:55,Bristol-Myers Squibb Expects Modest Revenue Growth in 2017,http://us.rd.yahoo.com/finance/external/marketrealist/rss/SIG=12toqhhfg/*http://marketrealist.com/2017/02/bristol-myers-squibb-expected-modest-growth-revenues-2017/?utm_source=yahoo&utm_medium=feed,56.74,2017-02-27 20:36:00,56.51,2017-02-27 20:56:00,56.57,2017-02-27 21:00:00,56.57,2017-02-27 21:00:00
8,2,2017-02-27 19:30:00,Cramer: Money's Being Thrown at Almost Everything in the Market,http://us.rd.yahoo.com/finance/external/tsmfe/rss/SIG=13gp7639d/*https://www.thestreet.com/story/14017446/1/cramer-money-s-being-thrown-at-almost-everything-in-the-market.html?puc=yahoo&cm_ven=YAHOO,56.41,2017-02-27 19:30:00,56.52,2017-02-27 19:50:00,56.78,2017-02-27 20:30:00,56.57,2017-02-27 21:00:00
9,3,2017-02-27 18:54:40,Analysts? Recommendations for Bristol-Myers Squibb in 2017,http://us.rd.yahoo.com/finance/external/marketrealist/rss/SIG=12lobu8rd/*http://marketrealist.com/2017/02/analyst-recommendations-bristol-myers-squibb-2017/?utm_source=yahoo&utm_medium=feed,56.45,2017-02-27 18:55:00,56.3,2017-02-27 19:15:00,56.53,2017-02-27 19:55:00,56.56,2017-02-27 20:55:00
10,4,2017-02-27 18:22:00,Why You Shouldn't Look Down On Your Depressed Colleagues,http://us.rd.yahoo.com/finance/external/forbes/rss/SIG=13gfpkcos/*http://www.forbes.com/sites/simonconstable/2017/02/27/why-you-shouldnt-look-down-on-your-depressed-colleagues/?utm_source=yahoo&utm_medium=partner&utm_campaign=yahootix&partner=yahootix,56.39,2017-02-27 18:22:00,56.53,2017-02-27 18:42:00,56.33,2017-02-27 19:22:00,56.69,2017-02-27 20:22:00
11,5,2017-02-27 18:16:10,"Exelixis Rockets On Bristol, Roche I-O Ties Following Merck-Incyte Team",http://us.rd.yahoo.com/finance/external/investors/rss/SIG=13ifbmj0q/*http://www.investors.com/news/technology/exelixis-rockets-on-bristol-roche-i-o-ties-following-merck-incyte-team/,56.49,2017-02-27 18:16:00,56.47,2017-02-27 18:36:00,56.3,2017-02-27 19:16:00,56.71,2017-02-27 20:16:00
12,6,2017-02-27 17:27:00,Walls Fargo analyst: Why we're optimistic on retail,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/video/walls-fargo-analyst-why-were-172700141.html,56.62,2017-02-27 17:27:00,56.53,2017-02-27 17:46:00,56.42,2017-02-27 18:27:00,56.43,2017-02-27 19:27:00
13,7,2017-02-27 16:46:00,Billionaire Julian Robertson Bets Big on Technology Sector With These Stocks,http://us.rd.yahoo.com/finance/external/xinsidermonkey/rss/SIG=13o1p6ub7/*http://www.insidermonkey.com/blog/billionaire-julian-robertson-bets-big-on-technology-sector-with-these-stocks-560558/,56.73,2017-02-27 16:45:00,56.7,2017-02-27 17:06:00,56.53,2017-02-27 17:46:00,56.53,2017-02-27 18:46:00
14,8,2017-02-27 14:54:05,[$$] VC Profile: OrbiMed Funds Novel Attacks on Cancer,http://us.rd.yahoo.com/finance/external/wsj/rss/SIG=12qgf48oe/*https://www.wsj.com/articles/vc-profile-orbimed-funds-novel-attacks-on-cancer-1488205956?mod=yahoo_hs,56.78,2017-02-27 14:54:00,56.91,2017-02-27 15:14:00,56.87,2017-02-27 15:55:00,56.71,2017-02-27 16:54:00
15,9,2017-02-27 14:30:00,Bristol-Myers Squibb to Take Part in Cowen and Company 37th Annual Global Health Care Conference,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/news/bristol-myers-squibb-part-cowen-143000050.html,56.62,2017-02-27 14:30:00,56.7,2017-02-27 14:50:00,56.91,2017-02-27 15:30:00,56.73,2017-02-27 16:30:00
