,Unnamed: 0,Dates,Headlines,Links,Last0,TradeTime0,Last20,TradeTime20,Last60,TradeTime60,Last120,TradeTime120
0,0,2017-02-28 20:55:13,Target pledges to reinvest in business after weak quarter,http://us.rd.yahoo.com/finance/news/rss/story/*http://sg.finance.yahoo.com/news/target-misses-street-4q-forecasts-113729782.html,59.86,2017-02-28 20:55:00,59.82,2017-02-28 21:00:00,59.82,2017-02-28 21:00:00,59.82,2017-02-28 21:00:00
1,1,2017-02-28 20:55:13,Target pledges to reinvest in business after weak quarter,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/news/target-misses-street-4q-forecasts-113729530.html,59.86,2017-02-28 20:55:00,59.82,2017-02-28 21:00:00,59.82,2017-02-28 21:00:00,59.82,2017-02-28 21:00:00
2,2,2017-02-28 19:57:31,Larry Summers: Banks with high capital levels can still fail,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/news/larry-summers-banks-with-high-capital-levels-can-still-fail-195731217.html,59.84,2017-02-28 19:58:00,59.83,2017-02-28 20:18:00,59.89,2017-02-28 20:58:00,59.82,2017-02-28 21:00:00
3,3,2017-02-28 17:29:54,Ken Heebner's CGM Mutual Fund 4th Quarter Commentary,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/news/ken-heebners-cgm-mutual-fund-172954122.html,59.61,2017-02-28 17:29:00,59.6,2017-02-28 17:50:00,59.66,2017-02-28 18:30:00,59.79,2017-02-28 19:30:00
4,4,2017-02-28 17:07:28,Algebris CEO Says U.S. Banks May Buy European Firms Soon,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/video/algebris-ceo-says-u-banks-170728196.html,59.83,2017-02-28 17:07:00,59.59,2017-02-28 17:27:00,59.72,2017-02-28 18:07:00,59.76,2017-02-28 19:07:00
5,5,2017-02-28 17:06:12,What Drove Nordstrom?s Earnings in Fiscal 4Q16?,http://us.rd.yahoo.com/finance/external/marketrealist/rss/SIG=129t1c0jo/*http://marketrealist.com/2017/02/drove-nordstroms-earnings-fiscal-4q16/?utm_source=yahoo&utm_medium=feed,59.83,2017-02-28 17:07:00,59.56,2017-02-28 17:26:00,59.72,2017-02-28 18:06:00,59.75,2017-02-28 19:06:00
6,6,2017-02-28 16:46:00,"A Memorable 2017, But Not in a Good Way; Why It Could Be Year of Retail Bankruptcies",http://us.rd.yahoo.com/finance/external/tsmfe/rss/SIG=1447jn2bo/*https://www.thestreet.com/story/14013732/1/a-memorable-2017-but-not-in-a-good-way-why-it-could-be-year-of-retail-bankruptcies.html?puc=yahoo&cm_ven=YAHOO,59.83,2017-02-28 16:46:00,59.9,2017-02-28 17:05:00,59.55,2017-02-28 17:46:00,59.73,2017-02-28 18:46:00
7,7,2017-02-28 16:41:48,Why Trump's budget math doesn't add up,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/news/why-trumps-budget-math-doesnt-add-up-164148167.html,59.8,2017-02-28 16:42:00,59.92,2017-02-28 17:02:00,59.57,2017-02-28 17:42:00,59.74,2017-02-28 18:42:00
8,8,2017-02-28 15:51:53,Citigroup Said in Talks for Saudi Arabia Banking License,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/video/citigroup-said-talks-saudi-arabia-155153371.html,59.96,2017-02-28 15:52:00,60.05,2017-02-28 16:12:00,59.88,2017-02-28 16:52:00,59.64,2017-02-28 17:51:00
9,9,2017-02-28 15:51:43,Citigroup Said in Talks for Saudi Arabia Banking License,http://us.rd.yahoo.com/finance/external/bloomberg/rss/SIG=13boaj1jd/*https://www.bloomberg.com/news/videos/2017-02-28/citigroup-said-in-talks-for-saudi-arabia-banking-license?cmpid=yhoo.headline,59.96,2017-02-28 15:52:00,60.05,2017-02-28 16:12:00,59.88,2017-02-28 16:52:00,59.64,2017-02-28 17:51:00
10,10,2017-02-28 15:18:43,Citigroup Said to Be in Talks for Saudi Arabia Banking License,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/news/citigroup-said-talks-saudi-arabia-151843167.html,59.65,2017-02-28 15:19:00,59.88,2017-02-28 15:39:00,59.96,2017-02-28 16:19:00,59.69,2017-02-28 17:19:00
11,11,2017-02-28 15:18:43,Citigroup Said to Be in Talks for Saudi Arabia Bank License,http://us.rd.yahoo.com/finance/external/bloomberg/rss/SIG=13j6btsbb/*https://www.bloomberg.com/news/articles/2017-02-28/citigroup-said-in-discussions-for-saudi-arabia-banking-license?cmpid=yhoo.headline,59.65,2017-02-28 15:19:00,59.88,2017-02-28 15:39:00,59.96,2017-02-28 16:19:00,59.69,2017-02-28 17:19:00
12,0,2017-02-27 20:40:36,A Wells Fargo Breakup Proposal Will Be on Bank's Proxy,http://us.rd.yahoo.com/finance/external/wsj/rss/SIG=13262mnhe/*http://blogs.wsj.com/moneybeat/2017/02/27/a-wells-fargo-breakup-proposal-will-be-on-banks-proxy/?mod=yahoo_hs,60.19,2017-02-27 20:41:00,60.02,2017-02-27 21:00:00,60.02,2017-02-27 21:00:00,60.02,2017-02-27 21:00:00
13,1,2017-02-27 20:38:00,"Near an All-Time Low, Is J.C. Penney a Buy?",http://us.rd.yahoo.com/finance/external/mfool/rss/SIG=12n73tir0/*http://www.fool.com/investing/2017/02/27/near-an-all-time-low-is-jc-penney-a-buy.aspx,60.19,2017-02-27 20:38:00,60.06,2017-02-27 20:58:00,60.02,2017-02-27 21:00:00,60.02,2017-02-27 21:00:00
14,2,2017-02-27 18:17:17,UBS: Costco is going to raise membership fees next quarter,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/news/ubs-costco-is-going-to-raise-membership-fees-next-quarter-181717748.html,60.04,2017-02-27 18:17:00,60.15,2017-02-27 18:37:00,60.03,2017-02-27 19:17:00,60.1,2017-02-27 20:17:00
15,3,2017-02-27 17:27:00,Walls Fargo analyst: Why we're optimistic on retail,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/video/walls-fargo-analyst-why-were-172700141.html,59.74,2017-02-27 17:27:00,59.79,2017-02-27 17:47:00,60.12,2017-02-27 18:26:00,60.14,2017-02-27 19:27:00
16,4,2017-02-27 14:46:13,"David Herro on Trump's Message, Banks, and Glencore",http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/video/david-herro-trumps-message-banks-144613171.html,59.65,2017-02-27 14:46:00,59.61,2017-02-27 15:06:00,59.73,2017-02-27 15:46:00,59.61,2017-02-27 16:46:00
