,Unnamed: 0,Dates,Headlines,Links,Last0,TradeTime0,Last20,TradeTime20,Last60,TradeTime60,Last120,TradeTime120
0,0,2017-02-28 20:55:13,Target pledges to reinvest in business after weak quarter,http://us.rd.yahoo.com/finance/news/rss/story/*http://sg.finance.yahoo.com/news/target-misses-street-4q-forecasts-113729782.html,73.04,2017-02-28 20:55:00,72.98,2017-02-28 21:00:00,72.98,2017-02-28 21:00:00,72.98,2017-02-28 21:00:00
1,1,2017-02-28 20:55:13,Target pledges to reinvest in business after weak quarter,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/news/target-misses-street-4q-forecasts-113729530.html,73.04,2017-02-28 20:55:00,72.98,2017-02-28 21:00:00,72.98,2017-02-28 21:00:00,72.98,2017-02-28 21:00:00
2,2,2017-02-28 17:06:12,What Drove Nordstrom?s Earnings in Fiscal 4Q16?,http://us.rd.yahoo.com/finance/external/marketrealist/rss/SIG=129t1c0jo/*http://marketrealist.com/2017/02/drove-nordstroms-earnings-fiscal-4q16/?utm_source=yahoo&utm_medium=feed,73.23,2017-02-28 17:06:00,73.18,2017-02-28 17:26:00,73.14,2017-02-28 18:06:00,73.19,2017-02-28 19:06:00
3,3,2017-02-28 16:46:00,"A Memorable 2017, But Not in a Good Way; Why It Could Be Year of Retail Bankruptcies",http://us.rd.yahoo.com/finance/external/tsmfe/rss/SIG=1447jn2bo/*https://www.thestreet.com/story/14013732/1/a-memorable-2017-but-not-in-a-good-way-why-it-could-be-year-of-retail-bankruptcies.html?puc=yahoo&cm_ven=YAHOO,73.3,2017-02-28 16:46:00,73.23,2017-02-28 17:06:00,73.19,2017-02-28 17:46:00,73.22,2017-02-28 18:46:00
4,4,2017-02-28 16:41:48,Why Trump's budget math doesn't add up,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/news/why-trumps-budget-math-doesnt-add-up-164148167.html,73.34,2017-02-28 16:42:00,73.21,2017-02-28 17:02:00,73.18,2017-02-28 17:42:00,73.18,2017-02-28 18:42:00
5,5,2017-02-28 15:12:03,New Strong Sell Stocks for February 28th,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/news/strong-sell-stocks-february-28th-151203073.html,73.26,2017-02-28 15:12:00,73.54,2017-02-28 15:32:00,73.35,2017-02-28 16:13:00,73.23,2017-02-28 17:12:00
6,6,2017-02-28 14:47:32,Colgate-Palmolive called out by SEC for non-standard earnings,http://us.rd.yahoo.com/finance/external/cbsm/rss/SIG=11iiumket/*http://www.marketwatch.com/News/Story/Story.aspx?guid=DDC390A2-FD22-11E6-BC2E-6B4D3D6AE6A4&siteid=yhoof2,72.91,2017-02-28 14:48:00,73.2,2017-02-28 15:08:00,73.39,2017-02-28 15:48:00,73.27,2017-02-28 16:48:00
7,0,2017-02-27 20:57:46,Colgate-Palmolive called out by SEC for non-standard earnings,http://us.rd.yahoo.com/finance/external/cbsm/rss/SIG=11iiumket/*http://www.marketwatch.com/News/Story/Story.aspx?guid=DDC390A2-FD22-11E6-BC2E-6B4D3D6AE6A4&siteid=yhoof2,72.61,2017-02-27 20:58:00,72.64,2017-02-27 21:00:00,72.64,2017-02-27 21:00:00,72.64,2017-02-27 21:00:00
8,1,2017-02-27 20:38:00,"Near an All-Time Low, Is J.C. Penney a Buy?",http://us.rd.yahoo.com/finance/external/mfool/rss/SIG=12n73tir0/*http://www.fool.com/investing/2017/02/27/near-an-all-time-low-is-jc-penney-a-buy.aspx,72.72,2017-02-27 20:38:00,72.61,2017-02-27 20:58:00,72.64,2017-02-27 21:00:00,72.64,2017-02-27 21:00:00
9,2,2017-02-27 17:27:00,Walls Fargo analyst: Why we're optimistic on retail,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/video/walls-fargo-analyst-why-were-172700141.html,72.59,2017-02-27 17:27:00,72.65,2017-02-27 17:47:00,72.64,2017-02-27 18:27:00,72.6,2017-02-27 19:26:00
