,Unnamed: 0,Dates,Headlines,Links,Last0,TradeTime0,Last20,TradeTime20,Last60,TradeTime60,Last120,TradeTime120
0,0,2017-02-28 20:55:13,Target pledges to reinvest in business after weak quarter,http://us.rd.yahoo.com/finance/news/rss/story/*http://sg.finance.yahoo.com/news/target-misses-street-4q-forecasts-113729782.html,112.71,2017-02-28 20:56:00,112.49,2017-02-28 21:00:00,112.49,2017-02-28 21:00:00,112.49,2017-02-28 21:00:00
1,1,2017-02-28 20:55:13,Target pledges to reinvest in business after weak quarter,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/news/target-misses-street-4q-forecasts-113729530.html,112.71,2017-02-28 20:56:00,112.49,2017-02-28 21:00:00,112.49,2017-02-28 21:00:00,112.49,2017-02-28 21:00:00
2,2,2017-02-28 20:43:05,5 Reasons to Buy Phillips 66 Now,http://us.rd.yahoo.com/finance/external/mfool/rss/SIG=12gifdi32/*http://www.fool.com/investing/2017/02/28/5-reasons-to-buy-phillips-66-now.aspx,112.23,2017-02-28 20:43:00,112.49,2017-02-28 21:00:00,112.49,2017-02-28 21:00:00,112.49,2017-02-28 21:00:00
3,3,2017-02-28 19:17:49,"Exxon, Chevron?s next moves? Dividend and spending plans",http://us.rd.yahoo.com/finance/external/cbsm/rss/SIG=11iiumket/*http://www.marketwatch.com/News/Story/Story.aspx?guid=F7A832FC-FDD6-11E6-BC2E-6B4D3D6AE6A4&siteid=yhoof2,112.05,2017-02-28 19:18:00,112.16,2017-02-28 19:38:00,112.15,2017-02-28 20:18:00,112.49,2017-02-28 21:00:00
4,4,2017-02-28 18:04:10,CHEVRON CORP Financials,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/q/is?s=cvx,111.88,2017-02-28 18:04:00,111.9,2017-02-28 18:24:00,112.18,2017-02-28 19:04:00,112.3,2017-02-28 20:04:00
5,5,2017-02-28 17:06:12,What Drove Nordstrom?s Earnings in Fiscal 4Q16?,http://us.rd.yahoo.com/finance/external/marketrealist/rss/SIG=129t1c0jo/*http://marketrealist.com/2017/02/drove-nordstroms-earnings-fiscal-4q16/?utm_source=yahoo&utm_medium=feed,111.82,2017-02-28 17:07:00,111.79,2017-02-28 17:26:00,111.95,2017-02-28 18:07:00,112.17,2017-02-28 19:06:00
6,6,2017-02-28 16:46:00,"A Memorable 2017, But Not in a Good Way; Why It Could Be Year of Retail Bankruptcies",http://us.rd.yahoo.com/finance/external/tsmfe/rss/SIG=1447jn2bo/*https://www.thestreet.com/story/14013732/1/a-memorable-2017-but-not-in-a-good-way-why-it-could-be-year-of-retail-bankruptcies.html?puc=yahoo&cm_ven=YAHOO,111.87,2017-02-28 16:45:00,111.92,2017-02-28 17:05:00,111.78,2017-02-28 17:46:00,112.06,2017-02-28 18:45:00
7,7,2017-02-28 16:41:48,Why Trump's budget math doesn't add up,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/news/why-trumps-budget-math-doesnt-add-up-164148167.html,111.9,2017-02-28 16:42:00,111.95,2017-02-28 17:02:00,111.82,2017-02-28 17:41:00,112.11,2017-02-28 18:42:00
8,8,2017-02-28 14:55:10,Short Sellers Can?t Make Up Their Minds on Major Oil,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/news/short-sellers-t-minds-major-145510020.html,111.97,2017-02-28 14:55:00,111.94,2017-02-28 15:15:00,112.07,2017-02-28 15:55:00,112.0,2017-02-28 16:55:00
9,9,2017-02-28 14:30:02,"The Zacks Analyst Blog Highlights: Disney, Verizon, Chevron, Broadcom and PNC Financial",http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/news/zacks-analyst-blog-highlights-disney-143002115.html,111.72,2017-02-28 14:30:00,112.1,2017-02-28 14:50:00,111.97,2017-02-28 15:30:00,111.81,2017-02-28 16:30:00
10,0,2017-02-27 20:38:00,"Near an All-Time Low, Is J.C. Penney a Buy?",http://us.rd.yahoo.com/finance/external/mfool/rss/SIG=12n73tir0/*http://www.fool.com/investing/2017/02/27/near-an-all-time-low-is-jc-penney-a-buy.aspx,111.9,2017-02-27 20:38:00,111.89,2017-02-27 20:58:00,111.77,2017-02-27 21:00:00,111.77,2017-02-27 21:00:00
11,1,2017-02-27 20:00:21,Dow sets sights on 12th straight record close,http://us.rd.yahoo.com/finance/external/cbsm/rss/SIG=11iiumket/*http://www.marketwatch.com/News/Story/Story.aspx?guid=8FBF8FBE-FCCD-11E6-BC2E-6B4D3D6AE6A4&siteid=yhoof2,112.18,2017-02-27 20:01:00,111.93,2017-02-27 20:20:00,111.77,2017-02-27 21:00:00,111.77,2017-02-27 21:00:00
12,2,2017-02-27 17:27:00,Walls Fargo analyst: Why we're optimistic on retail,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/video/walls-fargo-analyst-why-were-172700141.html,111.88,2017-02-27 17:26:00,111.72,2017-02-27 17:47:00,111.82,2017-02-27 18:27:00,111.99,2017-02-27 19:27:00
