,Unnamed: 0,Dates,Headlines,Links,Last0,TradeTime0,Last20,TradeTime20,Last60,TradeTime60,Last120,TradeTime120
0,0,2017-02-28 20:55:13,Target pledges to reinvest in business after weak quarter,http://us.rd.yahoo.com/finance/news/rss/story/*http://sg.finance.yahoo.com/news/target-misses-street-4q-forecasts-113729782.html,38.06,2017-02-28 20:56:00,37.99,2017-02-28 21:00:00,37.99,2017-02-28 21:00:00,37.99,2017-02-28 21:00:00
1,1,2017-02-28 20:55:13,Target pledges to reinvest in business after weak quarter,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/news/target-misses-street-4q-forecasts-113729530.html,38.06,2017-02-28 20:56:00,37.99,2017-02-28 21:00:00,37.99,2017-02-28 21:00:00,37.99,2017-02-28 21:00:00
2,2,2017-02-28 20:14:00,India: 7% GDP Growth Defies Demonetization,http://us.rd.yahoo.com/finance/external/barrons/rss/SIG=134218jop/*http://blogs.barrons.com/emergingmarketsdaily/2017/02/28/india-7-gdp-growth-defies-demonetization/?mod=yahoobarrons&ru=yahoo,38.15,2017-02-28 20:14:00,38.05,2017-02-28 20:33:00,37.99,2017-02-28 21:00:00,37.99,2017-02-28 21:00:00
3,3,2017-02-28 17:48:00,"EM Stocks Sink As Russia, China Veto Syria Sanctions",http://us.rd.yahoo.com/finance/external/barrons/rss/SIG=13f4t84tt/*http://blogs.barrons.com/emergingmarketsdaily/2017/02/28/em-stocks-sink-as-russia-china-veto-syria-sanctions/?mod=yahoobarrons&ru=yahoo,38.09,2017-02-28 17:48:00,38.12,2017-02-28 18:08:00,38.15,2017-02-28 18:49:00,38.17,2017-02-28 19:48:00
4,4,2017-02-28 17:06:12,What Drove Nordstrom?s Earnings in Fiscal 4Q16?,http://us.rd.yahoo.com/finance/external/marketrealist/rss/SIG=129t1c0jo/*http://marketrealist.com/2017/02/drove-nordstroms-earnings-fiscal-4q16/?utm_source=yahoo&utm_medium=feed,38.14,2017-02-28 17:06:00,38.06,2017-02-28 17:26:00,38.12,2017-02-28 18:05:00,38.15,2017-02-28 19:06:00
5,5,2017-02-28 16:46:00,"A Memorable 2017, But Not in a Good Way; Why It Could Be Year of Retail Bankruptcies",http://us.rd.yahoo.com/finance/external/tsmfe/rss/SIG=1447jn2bo/*https://www.thestreet.com/story/14013732/1/a-memorable-2017-but-not-in-a-good-way-why-it-could-be-year-of-retail-bankruptcies.html?puc=yahoo&cm_ven=YAHOO,38.15,2017-02-28 16:45:00,38.14,2017-02-28 17:06:00,38.08,2017-02-28 17:46:00,38.13,2017-02-28 18:46:00
6,6,2017-02-28 16:41:48,Why Trump's budget math doesn't add up,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/news/why-trumps-budget-math-doesnt-add-up-164148167.html,38.15,2017-02-28 16:42:00,38.15,2017-02-28 17:01:00,38.08,2017-02-28 17:42:00,38.14,2017-02-28 18:41:00
7,0,2017-02-27 20:38:00,"Near an All-Time Low, Is J.C. Penney a Buy?",http://us.rd.yahoo.com/finance/external/mfool/rss/SIG=12n73tir0/*http://www.fool.com/investing/2017/02/27/near-an-all-time-low-is-jc-penney-a-buy.aspx,38.33,2017-02-27 20:38:00,38.33,2017-02-27 20:58:00,38.36,2017-02-27 21:00:00,38.36,2017-02-27 21:00:00
8,1,2017-02-27 20:18:00,3 Reasons To Bet On Emerging Markets Bonds,http://us.rd.yahoo.com/finance/external/barrons/rss/SIG=1368iu7mv/*http://blogs.barrons.com/emergingmarketsdaily/2017/02/27/3-reasons-to-bet-on-emerging-markets-bonds/?mod=yahoobarrons&ru=yahoo,38.33,2017-02-27 20:18:00,38.33,2017-02-27 20:38:00,38.36,2017-02-27 21:00:00,38.36,2017-02-27 21:00:00
9,2,2017-02-27 17:27:00,Walls Fargo analyst: Why we're optimistic on retail,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/video/walls-fargo-analyst-why-were-172700141.html,38.4,2017-02-27 17:27:00,38.38,2017-02-27 17:46:00,38.36,2017-02-27 18:26:00,38.32,2017-02-27 19:27:00
10,3,2017-02-27 15:03:00,"Emerging Markets This Week: Central Banks, Trump & Trade",http://us.rd.yahoo.com/finance/external/barrons/rss/SIG=13g2qgmtk/*http://blogs.barrons.com/emergingmarketsdaily/2017/02/27/emerging-markets-this-week-central-banks-trump-trade/?mod=yahoobarrons&ru=yahoo,38.4,2017-02-27 15:03:00,38.4,2017-02-27 15:23:00,38.46,2017-02-27 16:03:00,38.4,2017-02-27 17:04:00
