,Unnamed: 0,Dates,Headlines,Links,Last0,TradeTime0,Last20,TradeTime20,Last60,TradeTime60,Last120,TradeTime120
0,0,2017-02-28 20:55:13,Target pledges to reinvest in business after weak quarter,http://us.rd.yahoo.com/finance/news/rss/story/*http://sg.finance.yahoo.com/news/target-misses-street-4q-forecasts-113729782.html,29.79,2017-02-28 20:55:00,29.81,2017-02-28 21:00:00,29.81,2017-02-28 21:00:00,29.81,2017-02-28 21:00:00
1,1,2017-02-28 20:55:13,Target pledges to reinvest in business after weak quarter,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/news/target-misses-street-4q-forecasts-113729530.html,29.79,2017-02-28 20:55:00,29.81,2017-02-28 21:00:00,29.81,2017-02-28 21:00:00,29.81,2017-02-28 21:00:00
2,2,2017-02-28 20:21:23,Smart-lighting company Digital Lumens moves to the cloud to prep for IoT future,http://us.rd.yahoo.com/finance/external/bizj/rss/SIG=13b5i887n/*http://www.bizjournals.com/boston/news/2017/02/28/smart-lighting-company-digital-lumens-moves-to-the.html?ana=yahoo,29.74,2017-02-28 20:21:00,29.7,2017-02-28 20:41:00,29.81,2017-02-28 21:00:00,29.81,2017-02-28 21:00:00
3,3,2017-02-28 19:50:12,GE's energy startup teams with AT&T on 'smart city' infrastructure,http://us.rd.yahoo.com/finance/external/bizj/rss/SIG=139t9ia83/*http://www.bizjournals.com/boston/news/2017/02/28/ges-energy-startup-teams-with-at-t-on-smart-city.html?ana=yahoo,29.72,2017-02-28 19:50:00,29.69,2017-02-28 20:10:00,29.75,2017-02-28 20:50:00,29.81,2017-02-28 21:00:00
4,4,2017-02-28 17:42:05,Why BWX Technologies Inc. Bounced 12% Higher,http://us.rd.yahoo.com/finance/external/mfool/rss/SIG=12q2tk1dh/*http://www.fool.com/investing/2017/02/28/why-bwx-technologies-inc-bounced-12-higher.aspx,29.8,2017-02-28 17:42:00,29.8,2017-02-28 18:02:00,29.77,2017-02-28 18:43:00,29.7,2017-02-28 19:43:00
5,5,2017-02-28 17:06:12,What Drove Nordstrom?s Earnings in Fiscal 4Q16?,http://us.rd.yahoo.com/finance/external/marketrealist/rss/SIG=129t1c0jo/*http://marketrealist.com/2017/02/drove-nordstroms-earnings-fiscal-4q16/?utm_source=yahoo&utm_medium=feed,29.81,2017-02-28 17:06:00,29.76,2017-02-28 17:26:00,29.82,2017-02-28 18:06:00,29.71,2017-02-28 19:06:00
6,6,2017-02-28 16:46:00,"A Memorable 2017, But Not in a Good Way; Why It Could Be Year of Retail Bankruptcies",http://us.rd.yahoo.com/finance/external/tsmfe/rss/SIG=1447jn2bo/*https://www.thestreet.com/story/14013732/1/a-memorable-2017-but-not-in-a-good-way-why-it-could-be-year-of-retail-bankruptcies.html?puc=yahoo&cm_ven=YAHOO,29.81,2017-02-28 16:46:00,29.81,2017-02-28 17:06:00,29.8,2017-02-28 17:46:00,29.77,2017-02-28 18:46:00
7,7,2017-02-28 16:45:42,3D Systems Sales Fall Most In Years; Revenue Outlook Is Light,http://us.rd.yahoo.com/finance/external/investors/rss/SIG=1373lcsr4/*http://www.investors.com/news/technology/3d-systems-earnings-fall-less-than-expected-but-sales-light/,29.81,2017-02-28 16:46:00,29.81,2017-02-28 17:06:00,29.8,2017-02-28 17:46:00,29.77,2017-02-28 18:46:00
8,8,2017-02-28 16:41:48,Why Trump's budget math doesn't add up,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/news/why-trumps-budget-math-doesnt-add-up-164148167.html,29.83,2017-02-28 16:41:00,29.81,2017-02-28 17:02:00,29.8,2017-02-28 17:42:00,29.77,2017-02-28 18:41:00
9,9,2017-02-28 15:00:00,GE Appoints Seven New Company Officers,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/news/ge-appoints-seven-company-officers-150000021.html,29.92,2017-02-28 15:00:00,29.92,2017-02-28 15:20:00,29.84,2017-02-28 16:00:00,29.81,2017-02-28 17:00:00
10,0,2017-02-27 20:38:00,"Near an All-Time Low, Is J.C. Penney a Buy?",http://us.rd.yahoo.com/finance/external/mfool/rss/SIG=12n73tir0/*http://www.fool.com/investing/2017/02/27/near-an-all-time-low-is-jc-penney-a-buy.aspx,29.96,2017-02-27 20:38:00,29.94,2017-02-27 20:58:00,29.94,2017-02-27 21:00:00,29.94,2017-02-27 21:00:00
11,1,2017-02-27 19:53:27,3D Systems Will Put Spotlight On 3D Printer Field With Q4 Earnings,http://us.rd.yahoo.com/finance/external/investors/rss/SIG=13eccmviv/*http://www.investors.com/news/technology/3d-systems-will-put-spotlight-on-3d-printer-field-with-q4-earnings/,29.94,2017-02-27 19:53:00,29.93,2017-02-27 20:13:00,29.93,2017-02-27 20:53:00,29.94,2017-02-27 21:00:00
12,2,2017-02-27 18:56:35,GE Said to Start Sale Process for Industrial Solutions in March,http://us.rd.yahoo.com/finance/external/bloomberg/rss/SIG=13kehqmg4/*https://www.bloomberg.com/news/articles/2017-02-27/ge-said-to-start-sale-process-for-industrial-solutions-in-march?cmpid=yhoo.headline,29.93,2017-02-27 18:57:00,29.95,2017-02-27 19:17:00,29.94,2017-02-27 19:56:00,29.93,2017-02-27 20:57:00
13,3,2017-02-27 17:27:00,Walls Fargo analyst: Why we're optimistic on retail,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/video/walls-fargo-analyst-why-were-172700141.html,29.95,2017-02-27 17:27:00,29.93,2017-02-27 17:46:00,29.94,2017-02-27 18:27:00,29.96,2017-02-27 19:27:00
