,Unnamed: 0,Dates,Headlines,Links,Last0,TradeTime0,Last20,TradeTime20,Last60,TradeTime60,Last120,TradeTime120
0,0,2017-02-28 20:55:13,Target pledges to reinvest in business after weak quarter,http://us.rd.yahoo.com/finance/news/rss/story/*http://sg.finance.yahoo.com/news/target-misses-street-4q-forecasts-113729782.html,137.97,2017-02-28 20:56:00,137.84,2017-02-28 21:00:00,137.84,2017-02-28 21:00:00,137.84,2017-02-28 21:00:00
1,1,2017-02-28 20:55:13,Target pledges to reinvest in business after weak quarter,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/news/target-misses-street-4q-forecasts-113729530.html,137.97,2017-02-28 20:56:00,137.84,2017-02-28 21:00:00,137.84,2017-02-28 21:00:00,137.84,2017-02-28 21:00:00
2,2,2017-02-28 18:09:49,"Dow sustains 30-year technical breakout, vies for historic record-setting streak",http://us.rd.yahoo.com/finance/external/cbsm/rss/SIG=11iiumket/*http://www.marketwatch.com/News/Story/Story.aspx?guid=58F4E97C-FDDE-11E6-B497-45A446776EAA&siteid=yhoof2,138.23,2017-02-28 18:10:00,138.05,2017-02-28 18:30:00,137.87,2017-02-28 19:09:00,137.93,2017-02-28 20:09:00
3,3,2017-02-28 17:54:05,"February ETF Asset Report: EM Gains, U.S. Loses",http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/news/february-etf-asset-report-em-175405170.html,138.15,2017-02-28 17:54:00,138.21,2017-02-28 18:14:00,138.08,2017-02-28 18:54:00,138.05,2017-02-28 19:54:00
4,4,2017-02-28 17:06:12,What Drove Nordstrom?s Earnings in Fiscal 4Q16?,http://us.rd.yahoo.com/finance/external/marketrealist/rss/SIG=129t1c0jo/*http://marketrealist.com/2017/02/drove-nordstroms-earnings-fiscal-4q16/?utm_source=yahoo&utm_medium=feed,138.72,2017-02-28 17:06:00,137.99,2017-02-28 17:26:00,138.23,2017-02-28 18:06:00,137.91,2017-02-28 19:06:00
5,5,2017-02-28 16:46:00,"A Memorable 2017, But Not in a Good Way; Why It Could Be Year of Retail Bankruptcies",http://us.rd.yahoo.com/finance/external/tsmfe/rss/SIG=1447jn2bo/*https://www.thestreet.com/story/14013732/1/a-memorable-2017-but-not-in-a-good-way-why-it-could-be-year-of-retail-bankruptcies.html?puc=yahoo&cm_ven=YAHOO,138.86,2017-02-28 16:46:00,138.72,2017-02-28 17:06:00,138.04,2017-02-28 17:46:00,138.17,2017-02-28 18:46:00
6,6,2017-02-28 16:41:48,Why Trump's budget math doesn't add up,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/news/why-trumps-budget-math-doesnt-add-up-164148167.html,138.87,2017-02-28 16:42:00,138.68,2017-02-28 17:02:00,138.03,2017-02-28 17:42:00,138.14,2017-02-28 18:42:00
7,0,2017-02-27 20:38:00,"Near an All-Time Low, Is J.C. Penney a Buy?",http://us.rd.yahoo.com/finance/external/mfool/rss/SIG=12n73tir0/*http://www.fool.com/investing/2017/02/27/near-an-all-time-low-is-jc-penney-a-buy.aspx,139.8,2017-02-27 20:38:00,139.91,2017-02-27 20:58:00,140.0,2017-02-27 21:00:00,140.0,2017-02-27 21:00:00
8,1,2017-02-27 18:05:54,US Consumer Sentiment Index Slowed,http://us.rd.yahoo.com/finance/external/marketrealist/rss/SIG=134nqd00c/*http://marketrealist.com/2017/02/us-consumer-sentiment-index-slowed-will-impact-consumer-spending/?utm_source=yahoo&utm_medium=feed,139.42,2017-02-27 18:06:00,139.49,2017-02-27 18:26:00,139.58,2017-02-27 19:06:00,139.83,2017-02-27 20:06:00
9,2,2017-02-27 17:35:05,5 Reasons Why Small-Cap ETFs Are Lagging Large Caps in 2017,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/news/5-reasons-why-small-cap-173505635.html,139.37,2017-02-27 17:35:00,139.49,2017-02-27 17:55:00,139.62,2017-02-27 18:35:00,139.75,2017-02-27 19:35:00
10,3,2017-02-27 17:27:00,Walls Fargo analyst: Why we're optimistic on retail,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/video/walls-fargo-analyst-why-were-172700141.html,139.33,2017-02-27 17:26:00,139.47,2017-02-27 17:47:00,139.51,2017-02-27 18:27:00,139.74,2017-02-27 19:27:00
11,4,2017-02-27 14:33:00,Synthetic Shorting With ETFs,http://us.rd.yahoo.com/finance/external/barrons/rss/SIG=12glgvjso/*http://blogs.barrons.com/focusonfunds/2017/02/27/synthetic-shorting-with-etfs/?mod=yahoobarrons&ru=yahoo,138.35,2017-02-27 14:33:00,139.06,2017-02-27 14:52:00,139.71,2017-02-27 15:33:00,139.33,2017-02-27 16:33:00
