,Unnamed: 0,Dates,Headlines,Links,Last0,TradeTime0,Last20,TradeTime20,Last60,TradeTime60,Last120,TradeTime120
0,0,2017-02-28 20:55:13,Target pledges to reinvest in business after weak quarter,http://us.rd.yahoo.com/finance/news/rss/story/*http://sg.finance.yahoo.com/news/target-misses-street-4q-forecasts-113729782.html,122.33,2017-02-28 20:55:00,122.23,2017-02-28 21:00:00,122.23,2017-02-28 21:00:00,122.23,2017-02-28 21:00:00
1,1,2017-02-28 20:55:13,Target pledges to reinvest in business after weak quarter,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/news/target-misses-street-4q-forecasts-113729530.html,122.33,2017-02-28 20:55:00,122.23,2017-02-28 21:00:00,122.23,2017-02-28 21:00:00,122.23,2017-02-28 21:00:00
2,2,2017-02-28 17:06:12,What Drove Nordstrom?s Earnings in Fiscal 4Q16?,http://us.rd.yahoo.com/finance/external/marketrealist/rss/SIG=129t1c0jo/*http://marketrealist.com/2017/02/drove-nordstroms-earnings-fiscal-4q16/?utm_source=yahoo&utm_medium=feed,122.31,2017-02-28 17:06:00,122.17,2017-02-28 17:26:00,122.29,2017-02-28 18:06:00,122.22,2017-02-28 19:07:00
3,3,2017-02-28 16:46:00,"A Memorable 2017, But Not in a Good Way; Why It Could Be Year of Retail Bankruptcies",http://us.rd.yahoo.com/finance/external/tsmfe/rss/SIG=1447jn2bo/*https://www.thestreet.com/story/14013732/1/a-memorable-2017-but-not-in-a-good-way-why-it-could-be-year-of-retail-bankruptcies.html?puc=yahoo&cm_ven=YAHOO,122.26,2017-02-28 16:46:00,122.31,2017-02-28 17:06:00,122.2,2017-02-28 17:46:00,122.3,2017-02-28 18:46:00
4,4,2017-02-28 16:41:48,Why Trump's budget math doesn't add up,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/news/why-trumps-budget-math-doesnt-add-up-164148167.html,122.25,2017-02-28 16:42:00,122.3,2017-02-28 17:02:00,122.2,2017-02-28 17:42:00,122.25,2017-02-28 18:42:00
5,5,2017-02-28 15:22:05,Johnson & Johnson -- Moody's rated J&J's notes Aaa; stable outlook,http://us.rd.yahoo.com/finance/external/xmoodys/rss/SIG=11h21r4n8/*http://www.moodys.com/page/viewresearchdoc.aspx?docid=PR_362645&WT.mc_id=AM~WWFob29fRmluYW5jZTQyX1NCX1JhdGluZyBOZXdzX0FsbF9Fbmc=~20170228_PR_362645,122.36,2017-02-28 15:22:00,122.33,2017-02-28 15:43:00,122.31,2017-02-28 16:22:00,122.21,2017-02-28 17:22:00
6,6,2017-02-28 14:30:02,"Zacks Industry Outlook Highlights: Johnson & Johnson, Pfizer, Glaxo, Amgen's and Lilly",http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/news/zacks-industry-outlook-highlights-johnson-143002844.html,122.06,2017-02-28 14:30:00,122.27,2017-02-28 14:50:00,122.44,2017-02-28 15:31:00,122.27,2017-02-28 16:30:00
7,0,2017-02-27 20:38:00,"Near an All-Time Low, Is J.C. Penney a Buy?",http://us.rd.yahoo.com/finance/external/mfool/rss/SIG=12n73tir0/*http://www.fool.com/investing/2017/02/27/near-an-all-time-low-is-jc-penney-a-buy.aspx,122.51,2017-02-27 20:38:00,122.39,2017-02-27 20:58:00,122.4,2017-02-27 21:00:00,122.4,2017-02-27 21:00:00
8,1,2017-02-27 20:23:00,[$$] Johnson & Johnson Prescription Unit List Prices Rose 8.5% Last Year,http://us.rd.yahoo.com/finance/external/wsj/rss/SIG=13apunu7q/*https://www.wsj.com/articles/johnson-johnson-prescription-unit-list-prices-rose-8-5-last-year-1488226977?mod=yahoo_hs,122.4,2017-02-27 20:23:00,122.5,2017-02-27 20:43:00,122.4,2017-02-27 21:00:00,122.4,2017-02-27 21:00:00
9,2,2017-02-27 20:03:26,"Drugmakers pledge restraint, but prices will still soar",http://us.rd.yahoo.com/finance/news/rss/story/*http://sg.finance.yahoo.com/news/drugmakers-pledge-restraint-prices-still-191004727.html,122.41,2017-02-27 20:03:00,122.4,2017-02-27 20:23:00,122.4,2017-02-27 21:00:00,122.4,2017-02-27 21:00:00
