,Unnamed: 0,Dates,Headlines,Links,Last0,TradeTime0,Last20,TradeTime20,Last60,TradeTime60,Last120,TradeTime120
0,0,2017-02-28 20:55:13,Target pledges to reinvest in business after weak quarter,http://us.rd.yahoo.com/finance/news/rss/story/*http://sg.finance.yahoo.com/news/target-misses-street-4q-forecasts-113729782.html,90.66,2017-02-28 20:55:00,90.62,2017-02-28 21:00:00,90.62,2017-02-28 21:00:00,90.62,2017-02-28 21:00:00
1,1,2017-02-28 20:55:13,Target pledges to reinvest in business after weak quarter,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/news/target-misses-street-4q-forecasts-113729530.html,90.66,2017-02-28 20:55:00,90.62,2017-02-28 21:00:00,90.62,2017-02-28 21:00:00,90.62,2017-02-28 21:00:00
2,2,2017-02-28 20:51:24,What's Happened So Far at JPMorgan's Annual Investor Day?,http://us.rd.yahoo.com/finance/external/bloomberg/rss/SIG=13k7q4q5e/*https://www.bloomberg.com/news/videos/2017-02-28/what-s-happened-so-far-at-jpmorgan-s-annual-investor-day-izq0dhmj?cmpid=yhoo.headline,90.67,2017-02-28 20:51:00,90.62,2017-02-28 21:00:00,90.62,2017-02-28 21:00:00,90.62,2017-02-28 21:00:00
3,3,2017-02-28 20:44:00,"JPMorgan Eyes Profit of $30 Billion as Fed Hikes Rates, Trump Cuts Rules",http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/news/jpmorgan-crushed-rivals-15-billion-142700523.html,90.66,2017-02-28 20:44:00,90.62,2017-02-28 21:00:00,90.62,2017-02-28 21:00:00,90.62,2017-02-28 21:00:00
4,4,2017-02-28 20:23:35,JAMIE DIMON: Cutting corporate taxes will help low-paid Americans,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/news/jamie-dimon-cutting-corporate-taxes-will-help-lower-paid-americans-wages-the-most-202335957.html,90.75,2017-02-28 20:24:00,90.66,2017-02-28 20:44:00,90.62,2017-02-28 21:00:00,90.62,2017-02-28 21:00:00
5,5,2017-02-28 19:57:31,Larry Summers: Banks with high capital levels can still fail,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/news/larry-summers-banks-with-high-capital-levels-can-still-fail-195731217.html,90.74,2017-02-28 19:58:00,90.79,2017-02-28 20:18:00,90.72,2017-02-28 20:58:00,90.62,2017-02-28 21:00:00
6,6,2017-02-28 19:18:49,[$$] J.P. Morgan Hits an Inflection Point,http://us.rd.yahoo.com/finance/external/wsj/rss/SIG=12dvm349s/*https://www.wsj.com/articles/j-p-morgan-hits-an-inflection-point-1488308708?mod=yahoo_hs,90.49,2017-02-28 19:18:00,90.71,2017-02-28 19:39:00,90.78,2017-02-28 20:19:00,90.62,2017-02-28 21:00:00
7,7,2017-02-28 17:52:00,Highlights from JP Morgan's investor day,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/video/jpm-investor-day-highlights-175200273.html,90.05,2017-02-28 17:51:00,90.46,2017-02-28 18:12:00,90.54,2017-02-28 18:52:00,90.78,2017-02-28 19:52:00
8,8,2017-02-28 17:11:15,JPMorgan eyes bigger investor payouts as it nears capital needs,http://us.rd.yahoo.com/finance/news/rss/story/*http://sg.finance.yahoo.com/news/jpmorgan-spend-more-grow-credit-143724195.html,90.08,2017-02-28 17:11:00,89.86,2017-02-28 17:31:00,90.45,2017-02-28 18:11:00,90.58,2017-02-28 19:11:00
9,9,2017-02-28 17:07:28,Algebris CEO Says U.S. Banks May Buy European Firms Soon,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/video/algebris-ceo-says-u-banks-170728196.html,90.14,2017-02-28 17:08:00,89.86,2017-02-28 17:27:00,90.5,2017-02-28 18:07:00,90.58,2017-02-28 19:07:00
10,10,2017-02-28 17:06:12,What Drove Nordstrom?s Earnings in Fiscal 4Q16?,http://us.rd.yahoo.com/finance/external/marketrealist/rss/SIG=129t1c0jo/*http://marketrealist.com/2017/02/drove-nordstroms-earnings-fiscal-4q16/?utm_source=yahoo&utm_medium=feed,90.18,2017-02-28 17:06:00,89.83,2017-02-28 17:26:00,90.53,2017-02-28 18:06:00,90.58,2017-02-28 19:07:00
11,11,2017-02-28 16:58:25,JPMorgan eyes bigger investor payouts as it nears capital needs,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/news/jpmorgan-eyes-bigger-investor-payouts-165825581.html,90.29,2017-02-28 16:59:00,89.95,2017-02-28 17:18:00,90.28,2017-02-28 17:58:00,90.62,2017-02-28 18:58:00
12,12,2017-02-28 16:46:00,"A Memorable 2017, But Not in a Good Way; Why It Could Be Year of Retail Bankruptcies",http://us.rd.yahoo.com/finance/external/tsmfe/rss/SIG=1447jn2bo/*https://www.thestreet.com/story/14013732/1/a-memorable-2017-but-not-in-a-good-way-why-it-could-be-year-of-retail-bankruptcies.html?puc=yahoo&cm_ven=YAHOO,90.19,2017-02-28 16:46:00,90.18,2017-02-28 17:06:00,89.88,2017-02-28 17:46:00,90.51,2017-02-28 18:46:00
13,13,2017-02-28 16:41:48,Why Trump's budget math doesn't add up,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/news/why-trumps-budget-math-doesnt-add-up-164148167.html,90.15,2017-02-28 16:42:00,90.24,2017-02-28 17:02:00,89.92,2017-02-28 17:42:00,90.56,2017-02-28 18:42:00
14,14,2017-02-28 16:39:00,JPMorgan's traders made $80 million a day in 2016,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/news/jpmorgans-traders-made-80-million-163900438.html,90.2,2017-02-28 16:39:00,90.29,2017-02-28 16:59:00,89.9,2017-02-28 17:39:00,90.65,2017-02-28 18:39:00
15,15,2017-02-28 16:35:00,JPMorgan CFO: 'Inflection point' for capital levels,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/video/jpmorgan-cfo-inflection-point-capital-163500006.html,90.22,2017-02-28 16:35:00,90.24,2017-02-28 16:55:00,89.9,2017-02-28 17:35:00,90.49,2017-02-28 18:35:00
16,16,2017-02-28 15:49:27,Warren Buffett's Secret to Valuing Bank Stocks,http://us.rd.yahoo.com/finance/external/mfool/rss/SIG=12tntv7lb/*http://www.fool.com/investing/2017/02/28/warren-buffetts-secret-to-valuing-bank-stocks.aspx,90.27,2017-02-28 15:49:00,90.28,2017-02-28 16:10:00,90.2,2017-02-28 16:49:00,89.99,2017-02-28 17:49:00
17,17,2017-02-28 15:46:39,"JPMorgan Investor Day to Focus on Loans, Trading",http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/video/jpmorgan-investor-day-addresses-card-154639070.html,90.13,2017-02-28 15:47:00,90.32,2017-02-28 16:07:00,90.18,2017-02-28 16:47:00,89.92,2017-02-28 17:47:00
18,18,2017-02-28 15:24:19,JPMorgan is hiring bankers in a city near you,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/news/jpmorgan-looking-hire-bankers-city-152419859.html,90.05,2017-02-28 15:24:00,90.2,2017-02-28 15:44:00,90.26,2017-02-28 16:24:00,89.85,2017-02-28 17:24:00
19,19,2017-02-28 14:35:00,"JPMorgan to spend more to grow credit cards, improve technology",http://us.rd.yahoo.com/finance/news/rss/story/*http://in.finance.yahoo.com/news/jpmorgan-expects-2017-expenses-rise-134006902.html,90.04,2017-02-28 14:35:00,89.79,2017-02-28 14:55:00,90.11,2017-02-28 15:35:00,90.22,2017-02-28 16:35:00
20,0,2017-02-27 20:40:36,A Wells Fargo Breakup Proposal Will Be on Bank's Proxy,http://us.rd.yahoo.com/finance/external/wsj/rss/SIG=13262mnhe/*http://blogs.wsj.com/moneybeat/2017/02/27/a-wells-fargo-breakup-proposal-will-be-on-banks-proxy/?mod=yahoo_hs,90.61,2017-02-27 20:41:00,90.43,2017-02-27 21:00:00,90.43,2017-02-27 21:00:00,90.43,2017-02-27 21:00:00
21,1,2017-02-27 20:38:00,"Near an All-Time Low, Is J.C. Penney a Buy?",http://us.rd.yahoo.com/finance/external/mfool/rss/SIG=12n73tir0/*http://www.fool.com/investing/2017/02/27/near-an-all-time-low-is-jc-penney-a-buy.aspx,90.58,2017-02-27 20:38:00,90.5,2017-02-27 20:58:00,90.43,2017-02-27 21:00:00,90.43,2017-02-27 21:00:00
22,2,2017-02-27 20:00:42,What to Expect From JPMorgan's Annual Investor Day,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/video/expect-jpmorgans-annual-investor-day-200042079.html,90.56,2017-02-27 20:01:00,90.56,2017-02-27 20:21:00,90.43,2017-02-27 21:00:00,90.43,2017-02-27 21:00:00
23,3,2017-02-27 17:27:00,Walls Fargo analyst: Why we're optimistic on retail,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/video/walls-fargo-analyst-why-were-172700141.html,90.28,2017-02-27 17:27:00,90.27,2017-02-27 17:47:00,90.54,2017-02-27 18:27:00,90.65,2017-02-27 19:27:00
