,Unnamed: 0,Dates,Headlines,Links,Last0,TradeTime0,Last20,TradeTime20,Last60,TradeTime60,Last120,TradeTime120
0,0,2017-02-28 20:55:13,Target pledges to reinvest in business after weak quarter,http://us.rd.yahoo.com/finance/news/rss/story/*http://sg.finance.yahoo.com/news/target-misses-street-4q-forecasts-113729782.html,91.13,2017-02-28 20:55:00,91.06,2017-02-28 21:00:00,91.06,2017-02-28 21:00:00,91.06,2017-02-28 21:00:00
1,1,2017-02-28 20:55:13,Target pledges to reinvest in business after weak quarter,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/news/target-misses-street-4q-forecasts-113729530.html,91.13,2017-02-28 20:55:00,91.06,2017-02-28 21:00:00,91.06,2017-02-28 21:00:00,91.06,2017-02-28 21:00:00
2,2,2017-02-28 17:19:00,5 Must-See Slides From Procter & Gamble Co's Investor Presentation,http://us.rd.yahoo.com/finance/external/mfool/rss/SIG=132iplraa/*http://www.fool.com/investing/2017/02/28/5-must-see-slides-from-procter-gamble-cos-investor.aspx,91.53,2017-02-28 17:19:00,91.48,2017-02-28 17:39:00,91.24,2017-02-28 18:19:00,91.07,2017-02-28 19:19:00
3,3,2017-02-28 17:06:12,What Drove Nordstrom?s Earnings in Fiscal 4Q16?,http://us.rd.yahoo.com/finance/external/marketrealist/rss/SIG=129t1c0jo/*http://marketrealist.com/2017/02/drove-nordstroms-earnings-fiscal-4q16/?utm_source=yahoo&utm_medium=feed,91.64,2017-02-28 17:06:00,91.44,2017-02-28 17:26:00,91.34,2017-02-28 18:06:00,91.2,2017-02-28 19:06:00
4,4,2017-02-28 16:46:00,"A Memorable 2017, But Not in a Good Way; Why It Could Be Year of Retail Bankruptcies",http://us.rd.yahoo.com/finance/external/tsmfe/rss/SIG=1447jn2bo/*https://www.thestreet.com/story/14013732/1/a-memorable-2017-but-not-in-a-good-way-why-it-could-be-year-of-retail-bankruptcies.html?puc=yahoo&cm_ven=YAHOO,91.65,2017-02-28 16:46:00,91.64,2017-02-28 17:06:00,91.41,2017-02-28 17:46:00,91.28,2017-02-28 18:45:00
5,5,2017-02-28 16:41:48,Why Trump's budget math doesn't add up,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/news/why-trumps-budget-math-doesnt-add-up-164148167.html,91.71,2017-02-28 16:42:00,91.58,2017-02-28 17:02:00,91.42,2017-02-28 17:42:00,91.19,2017-02-28 18:42:00
6,6,2017-02-28 16:17:13,This is what Kraft Heinz could gain from a Unilever merger,http://us.rd.yahoo.com/finance/external/cnbc/rss/SIG=112f9cftb/*http://www.cnbc.com/id/104289770?__source=yahoo%7cfinance%7cheadline%7cheadline%7cstory&par=yahoo&doc=104289770,91.67,2017-02-28 16:17:00,91.71,2017-02-28 16:37:00,91.51,2017-02-28 17:17:00,91.27,2017-02-28 18:17:00
7,0,2017-02-27 20:38:00,"Near an All-Time Low, Is J.C. Penney a Buy?",http://us.rd.yahoo.com/finance/external/mfool/rss/SIG=12n73tir0/*http://www.fool.com/investing/2017/02/27/near-an-all-time-low-is-jc-penney-a-buy.aspx,90.79,2017-02-27 20:38:00,90.79,2017-02-27 20:58:00,90.88,2017-02-27 21:00:00,90.88,2017-02-27 21:00:00
8,1,2017-02-27 19:55:08,?P&G goes global with selfie skin analysis,http://us.rd.yahoo.com/finance/external/bizj/rss/SIG=1361sth25/*http://www.bizjournals.com/cincinnati/news/2017/02/27/p-g-goes-global-with-selfie-skin-analysis.html?ana=yahoo,90.57,2017-02-27 19:55:00,90.72,2017-02-27 20:15:00,90.78,2017-02-27 20:55:00,90.88,2017-02-27 21:00:00
9,2,2017-02-27 17:27:00,Walls Fargo analyst: Why we're optimistic on retail,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/video/walls-fargo-analyst-why-were-172700141.html,90.26,2017-02-27 17:27:00,90.23,2017-02-27 17:47:00,90.4,2017-02-27 18:27:00,90.32,2017-02-27 19:27:00
10,3,2017-02-27 14:55:00,Olay Unveils Global Skin Analysis Platform Olay Skin Advisor ? The First-Of-Its-Kind Application of Deep Learning in the Beauty Industry,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/news/olay-unveils-global-skin-analysis-145500839.html,90.49,2017-02-27 14:54:00,90.59,2017-02-27 15:14:00,90.42,2017-02-27 15:55:00,90.18,2017-02-27 16:55:00
