,Unnamed: 0,Dates,Headlines,Links,Last0,TradeTime0,Last20,TradeTime20,Last60,TradeTime60,Last120,TradeTime120
0,0,2017-02-28 20:55:13,Target pledges to reinvest in business after weak quarter,http://us.rd.yahoo.com/finance/news/rss/story/*http://sg.finance.yahoo.com/news/target-misses-street-4q-forecasts-113729782.html,236.67,2017-02-28 20:55:00,236.47,2017-02-28 21:00:00,236.47,2017-02-28 21:00:00,236.47,2017-02-28 21:00:00
1,1,2017-02-28 20:55:13,Target pledges to reinvest in business after weak quarter,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/news/target-misses-street-4q-forecasts-113729530.html,236.67,2017-02-28 20:55:00,236.47,2017-02-28 21:00:00,236.47,2017-02-28 21:00:00,236.47,2017-02-28 21:00:00
2,2,2017-02-28 20:05:43,How IBM Stock Has Performed Compared to Broader Markets,http://us.rd.yahoo.com/finance/external/marketrealist/rss/SIG=12fa3m5kl/*http://marketrealist.com/2017/02/ibm-performed-berkshire-hathaways-portfolio/?utm_source=yahoo&utm_medium=feed,236.47,2017-02-28 20:06:00,236.48,2017-02-28 20:26:00,236.47,2017-02-28 21:00:00,236.47,2017-02-28 21:00:00
3,3,2017-02-28 19:05:43,Potash Producers Have Executed This Strategy to Maintain Margins,http://us.rd.yahoo.com/finance/external/marketrealist/rss/SIG=12n2v6s44/*http://marketrealist.com/2017/02/strategy-potash-producers-executed-maintain-margins/?utm_source=yahoo&utm_medium=feed,236.42,2017-02-28 19:06:00,236.38,2017-02-28 19:26:00,236.47,2017-02-28 20:06:00,236.47,2017-02-28 21:00:00
4,4,2017-02-28 18:29:56,How Did Auto Stocks Fare in February?,http://us.rd.yahoo.com/finance/external/marketrealist/rss/SIG=128a2pjmi/*http://marketrealist.com/2017/02/how-did-auto-stocks-fare-in-february/?utm_source=yahoo&utm_medium=feed,236.48,2017-02-28 18:30:00,236.56,2017-02-28 18:50:00,236.4,2017-02-28 19:30:00,236.41,2017-02-28 20:30:00
5,5,2017-02-28 17:06:12,What Drove Nordstrom?s Earnings in Fiscal 4Q16?,http://us.rd.yahoo.com/finance/external/marketrealist/rss/SIG=129t1c0jo/*http://marketrealist.com/2017/02/drove-nordstroms-earnings-fiscal-4q16/?utm_source=yahoo&utm_medium=feed,236.74,2017-02-28 17:06:00,236.1,2017-02-28 17:26:00,236.51,2017-02-28 18:06:00,236.42,2017-02-28 19:06:00
6,6,2017-02-28 16:58:10,What markets will think of Donald Trump's speech tonight,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/news/what-markets-will-think-of-donald-trumps-speech-tonight-165810692.html,236.81,2017-02-28 16:58:00,236.52,2017-02-28 17:18:00,236.37,2017-02-28 17:58:00,236.58,2017-02-28 18:58:00
7,7,2017-02-28 16:52:23,Warren Buffett?s Top 4 Investment Strategies,http://us.rd.yahoo.com/finance/external/marketrealist/rss/SIG=12supng1i/*http://marketrealist.com/2017/02/warren-buffetts-investment-strategy-long-term-investment/?utm_source=yahoo&utm_medium=feed,236.78,2017-02-28 16:52:00,236.57,2017-02-28 17:12:00,236.4,2017-02-28 17:52:00,236.57,2017-02-28 18:52:00
8,8,2017-02-28 16:46:00,"A Memorable 2017, But Not in a Good Way; Why It Could Be Year of Retail Bankruptcies",http://us.rd.yahoo.com/finance/external/tsmfe/rss/SIG=1447jn2bo/*https://www.thestreet.com/story/14013732/1/a-memorable-2017-but-not-in-a-good-way-why-it-could-be-year-of-retail-bankruptcies.html?puc=yahoo&cm_ven=YAHOO,236.79,2017-02-28 16:45:00,236.74,2017-02-28 17:06:00,236.22,2017-02-28 17:46:00,236.6,2017-02-28 18:46:00
9,9,2017-02-28 16:41:48,Why Trump's budget math doesn't add up,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/news/why-trumps-budget-math-doesnt-add-up-164148167.html,236.79,2017-02-28 16:42:00,236.74,2017-02-28 17:02:00,236.2,2017-02-28 17:42:00,236.57,2017-02-28 18:42:00
