,Unnamed: 0,Dates,Headlines,Links,Last0,TradeTime0,Last20,TradeTime20,Last60,TradeTime60,Last120,TradeTime120
0,0,2017-02-28 20:55:13,Target pledges to reinvest in business after weak quarter,http://us.rd.yahoo.com/finance/news/rss/story/*http://sg.finance.yahoo.com/news/target-misses-street-4q-forecasts-113729782.html,41.81,2017-02-28 20:55:00,41.79,2017-02-28 21:00:00,41.79,2017-02-28 21:00:00,41.79,2017-02-28 21:00:00
1,1,2017-02-28 20:55:13,Target pledges to reinvest in business after weak quarter,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/news/target-misses-street-4q-forecasts-113729530.html,41.81,2017-02-28 20:55:00,41.79,2017-02-28 21:00:00,41.79,2017-02-28 21:00:00,41.79,2017-02-28 21:00:00
2,2,2017-02-28 20:55:08,Here's what the AT&T-Time Warner deal faces along its path to regulatory approval,http://us.rd.yahoo.com/finance/external/bizj/rss/SIG=1399pmnqi/*http://www.bizjournals.com/dallas/news/2017/02/28/heres-what-the-at-t-time-warner-deal-faces-along.html?ana=yahoo,41.81,2017-02-28 20:55:00,41.79,2017-02-28 21:00:00,41.79,2017-02-28 21:00:00,41.79,2017-02-28 21:00:00
3,3,2017-02-28 20:43:44,EU open to compromise on some parts of mobile industry agenda,http://us.rd.yahoo.com/finance/news/rss/story/*http://uk.finance.yahoo.com/news/telecoms-companies-call-brussels-reconsider-163223573.html,41.64,2017-02-28 20:44:00,41.79,2017-02-28 21:00:00,41.79,2017-02-28 21:00:00,41.79,2017-02-28 21:00:00
4,4,2017-02-28 19:50:12,GE's energy startup teams with AT&T on 'smart city' infrastructure,http://us.rd.yahoo.com/finance/external/bizj/rss/SIG=139t9ia83/*http://www.bizjournals.com/boston/news/2017/02/28/ges-energy-startup-teams-with-at-t-on-smart-city.html?ana=yahoo,41.78,2017-02-28 19:50:00,41.79,2017-02-28 20:10:00,41.74,2017-02-28 20:50:00,41.79,2017-02-28 21:00:00
5,5,2017-02-28 17:06:12,What Drove Nordstrom?s Earnings in Fiscal 4Q16?,http://us.rd.yahoo.com/finance/external/marketrealist/rss/SIG=129t1c0jo/*http://marketrealist.com/2017/02/drove-nordstroms-earnings-fiscal-4q16/?utm_source=yahoo&utm_medium=feed,41.78,2017-02-28 17:06:00,41.7,2017-02-28 17:26:00,41.67,2017-02-28 18:06:00,41.77,2017-02-28 19:06:00
6,6,2017-02-28 17:03:00,AT&T-Time Warner Deal Won?t Face a Review by FCC,http://us.rd.yahoo.com/finance/external/investopedia/rss/SIG=12ccr6qfj/*http://www.investopedia.com/news/atttime-warner-deal-wont-face-review-fcc/?partner=YahooSA,41.79,2017-02-28 17:03:00,41.76,2017-02-28 17:23:00,41.67,2017-02-28 18:03:00,41.77,2017-02-28 19:03:00
7,7,2017-02-28 16:46:00,"A Memorable 2017, But Not in a Good Way; Why It Could Be Year of Retail Bankruptcies",http://us.rd.yahoo.com/finance/external/tsmfe/rss/SIG=1447jn2bo/*https://www.thestreet.com/story/14013732/1/a-memorable-2017-but-not-in-a-good-way-why-it-could-be-year-of-retail-bankruptcies.html?puc=yahoo&cm_ven=YAHOO,41.75,2017-02-28 16:46:00,41.78,2017-02-28 17:06:00,41.68,2017-02-28 17:46:00,41.79,2017-02-28 18:46:00
8,8,2017-02-28 16:45:00,AT&T and GE are planning to deploy smart streetlights,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/news/t-ge-planning-deploy-smart-164500117.html,41.72,2017-02-28 16:45:00,41.78,2017-02-28 17:05:00,41.7,2017-02-28 17:44:00,41.78,2017-02-28 18:44:00
9,9,2017-02-28 16:41:48,Why Trump's budget math doesn't add up,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/news/why-trumps-budget-math-doesnt-add-up-164148167.html,41.72,2017-02-28 16:42:00,41.79,2017-02-28 17:02:00,41.71,2017-02-28 17:42:00,41.76,2017-02-28 18:42:00
10,10,2017-02-28 16:40:04,"Top Research Reports for February 28, 2017",http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/news/top-research-reports-february-28-164004573.html,41.74,2017-02-28 16:40:00,41.79,2017-02-28 17:00:00,41.71,2017-02-28 17:41:00,41.76,2017-02-28 18:40:00
11,11,2017-02-28 16:31:00,AT&T Said to Win $7B FirstNet Public Safety Network Deal,http://us.rd.yahoo.com/finance/external/tsmfe/rss/SIG=13dn7955b/*https://www.thestreet.com/story/14019088/1/at-amp-t-said-to-win-7b-firstnet-public-safety-network-deal.html?puc=yahoo&cm_ven=YAHOO,41.7,2017-02-28 16:31:00,41.76,2017-02-28 16:51:00,41.72,2017-02-28 17:31:00,41.71,2017-02-28 18:31:00
12,12,2017-02-28 15:38:20,Here?s How a Charter Communications Acquisition Could Impact Verizon,http://us.rd.yahoo.com/finance/external/marketrealist/rss/SIG=137ku1s7h/*http://marketrealist.com/2017/02/heres-how-a-charter-communications-acquisition-could-impact-verizon/?utm_source=yahoo&utm_medium=feed,41.83,2017-02-28 15:38:00,41.81,2017-02-28 15:58:00,41.74,2017-02-28 16:38:00,41.71,2017-02-28 17:38:00
13,13,2017-02-28 15:38:04,How Apple?s iPhone Has Been Driving Sprint?s Postpaid Upgrades,http://us.rd.yahoo.com/finance/external/marketrealist/rss/SIG=130mjmh8m/*http://marketrealist.com/2017/02/how-apples-iphone-has-been-driving-sprints-postpaid-upgrades/?utm_source=yahoo&utm_medium=feed,41.83,2017-02-28 15:38:00,41.81,2017-02-28 15:58:00,41.74,2017-02-28 16:38:00,41.71,2017-02-28 17:38:00
14,14,2017-02-28 15:20:12,Movie studios network with local film and television talent,http://us.rd.yahoo.com/finance/external/bizj/rss/SIG=134ou93q6/*http://www.bizjournals.com/newyork/news/2017/02/28/disney-time-warner-cbs-sony-viacom-network.html?ana=yahoo,41.81,2017-02-28 15:20:00,41.85,2017-02-28 15:40:00,41.74,2017-02-28 16:20:00,41.79,2017-02-28 17:20:00
15,15,2017-02-28 14:58:40,FCC Chairman Explains Light-Touch Regulation Approach,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/video/fcc-chairman-explains-light-touch-145840505.html,41.83,2017-02-28 14:59:00,41.82,2017-02-28 15:19:00,41.81,2017-02-28 15:59:00,41.79,2017-02-28 16:59:00
16,16,2017-02-28 14:58:33,FCC Chairman Explains Light-Touch Regulation Approach,http://us.rd.yahoo.com/finance/external/bloomberg/rss/SIG=1385f24uk/*https://www.bloomberg.com/news/videos/2017-02-28/fcc-chairman-explains-light-touch-regulation-approach?cmpid=yhoo.headline,41.83,2017-02-28 14:59:00,41.82,2017-02-28 15:19:00,41.81,2017-02-28 15:59:00,41.79,2017-02-28 16:59:00
17,17,2017-02-28 14:46:06,Wireless carriers are quietly influencing what videos you watch on your phone,http://us.rd.yahoo.com/finance/external/cbsm/rss/SIG=11iiumket/*http://www.marketwatch.com/News/Story/Story.aspx?guid=FA8390A6-FDB9-11E6-BC2E-6B4D3D6AE6A4&siteid=yhoof2,41.73,2017-02-28 14:46:00,41.81,2017-02-28 15:06:00,41.86,2017-02-28 15:46:00,41.75,2017-02-28 16:46:00
18,0,2017-02-27 20:38:00,"Near an All-Time Low, Is J.C. Penney a Buy?",http://us.rd.yahoo.com/finance/external/mfool/rss/SIG=12n73tir0/*http://www.fool.com/investing/2017/02/27/near-an-all-time-low-is-jc-penney-a-buy.aspx,41.82,2017-02-27 20:37:00,41.77,2017-02-27 20:58:00,41.82,2017-02-27 21:00:00,41.82,2017-02-27 21:00:00
19,1,2017-02-27 20:09:06,No AT&T-Time Warner merger review expected: U.S. regulator's chairman,http://us.rd.yahoo.com/finance/news/rss/story/*http://sg.finance.yahoo.com/news/no-t-time-warner-merger-193351693.html,41.78,2017-02-27 20:09:00,41.82,2017-02-27 20:29:00,41.82,2017-02-27 21:00:00,41.82,2017-02-27 21:00:00
20,2,2017-02-27 20:09:06,No AT&T-Time Warner merger review expected: U.S. regulator's chairman,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/news/no-t-time-warner-merger-193351676.html,41.78,2017-02-27 20:09:00,41.82,2017-02-27 20:29:00,41.82,2017-02-27 21:00:00,41.82,2017-02-27 21:00:00
21,3,2017-02-27 19:55:56,Wireless carrier stocks fall amid budding price war in unlimited data,http://us.rd.yahoo.com/finance/external/cbsm/rss/SIG=11iiumket/*http://www.marketwatch.com/News/Story/Story.aspx?guid=E400EBE8-B316-446D-B613-F2282F13F469&siteid=yhoof2,41.79,2017-02-27 19:56:00,41.8,2017-02-27 20:16:00,41.78,2017-02-27 20:55:00,41.82,2017-02-27 21:00:00
22,4,2017-02-27 19:36:37,No AT&T-Time Warner merger review expected - U.S. regulator's chairman,http://us.rd.yahoo.com/finance/news/rss/story/*http://sg.finance.yahoo.com/news/no-t-time-warner-merger-193637665.html,41.78,2017-02-27 19:37:00,41.78,2017-02-27 19:57:00,41.82,2017-02-27 20:37:00,41.82,2017-02-27 21:00:00
23,5,2017-02-27 19:33:22,No AT&T-Time Warner merger review expected - U.S. regulator's chairman,http://us.rd.yahoo.com/finance/news/rss/story/*http://in.finance.yahoo.com/news/no-t-time-warner-merger-193216449.html,41.79,2017-02-27 19:34:00,41.8,2017-02-27 19:54:00,41.81,2017-02-27 20:33:00,41.82,2017-02-27 21:00:00
24,6,2017-02-27 19:33:22,No AT&T-Time Warner merger review expected - U.S. regulator's chairman,http://us.rd.yahoo.com/finance/news/rss/story/*http://sg.finance.yahoo.com/news/no-t-time-warner-merger-193216371.html,41.79,2017-02-27 19:34:00,41.8,2017-02-27 19:54:00,41.81,2017-02-27 20:33:00,41.82,2017-02-27 21:00:00
