,Unnamed: 0,Dates,Headlines,Links,Last0,TradeTime0,Last20,TradeTime20,Last60,TradeTime60,Last120,TradeTime120
0,0,2017-02-28 20:55:13,Target pledges to reinvest in business after weak quarter,http://us.rd.yahoo.com/finance/news/rss/story/*http://sg.finance.yahoo.com/news/target-misses-street-4q-forecasts-113729782.html,49.65,2017-02-28 20:55:00,49.65,2017-02-28 21:00:00,49.65,2017-02-28 21:00:00,49.65,2017-02-28 21:00:00
1,1,2017-02-28 20:55:13,Target pledges to reinvest in business after weak quarter,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/news/target-misses-street-4q-forecasts-113729530.html,49.65,2017-02-28 20:55:00,49.65,2017-02-28 21:00:00,49.65,2017-02-28 21:00:00,49.65,2017-02-28 21:00:00
2,2,2017-02-28 20:08:00,FCC's New Chief Pulls No Punches in Attacking Net Neutrality,http://us.rd.yahoo.com/finance/external/tsmfe/rss/SIG=13es8vl6l/*https://www.thestreet.com/story/14019444/1/fcc-s-new-chief-pulls-no-punches-in-attacking-net-neutrality.html?puc=yahoo&cm_ven=YAHOO,49.6,2017-02-28 20:08:00,49.53,2017-02-28 20:27:00,49.65,2017-02-28 21:00:00,49.65,2017-02-28 21:00:00
3,3,2017-02-28 17:06:12,What Drove Nordstrom?s Earnings in Fiscal 4Q16?,http://us.rd.yahoo.com/finance/external/marketrealist/rss/SIG=129t1c0jo/*http://marketrealist.com/2017/02/drove-nordstroms-earnings-fiscal-4q16/?utm_source=yahoo&utm_medium=feed,49.56,2017-02-28 17:06:00,49.43,2017-02-28 17:26:00,49.44,2017-02-28 18:06:00,49.58,2017-02-28 19:06:00
4,4,2017-02-28 16:46:00,"A Memorable 2017, But Not in a Good Way; Why It Could Be Year of Retail Bankruptcies",http://us.rd.yahoo.com/finance/external/tsmfe/rss/SIG=1447jn2bo/*https://www.thestreet.com/story/14013732/1/a-memorable-2017-but-not-in-a-good-way-why-it-could-be-year-of-retail-bankruptcies.html?puc=yahoo&cm_ven=YAHOO,49.55,2017-02-28 16:46:00,49.56,2017-02-28 17:06:00,49.48,2017-02-28 17:46:00,49.54,2017-02-28 18:46:00
5,5,2017-02-28 16:41:48,Why Trump's budget math doesn't add up,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/news/why-trumps-budget-math-doesnt-add-up-164148167.html,49.49,2017-02-28 16:42:00,49.56,2017-02-28 17:02:00,49.48,2017-02-28 17:42:00,49.54,2017-02-28 18:42:00
6,6,2017-02-28 15:38:20,Here?s How a Charter Communications Acquisition Could Impact Verizon,http://us.rd.yahoo.com/finance/external/marketrealist/rss/SIG=137ku1s7h/*http://marketrealist.com/2017/02/heres-how-a-charter-communications-acquisition-could-impact-verizon/?utm_source=yahoo&utm_medium=feed,49.74,2017-02-28 15:38:00,49.67,2017-02-28 15:58:00,49.53,2017-02-28 16:38:00,49.47,2017-02-28 17:39:00
7,7,2017-02-28 15:38:04,How Apple?s iPhone Has Been Driving Sprint?s Postpaid Upgrades,http://us.rd.yahoo.com/finance/external/marketrealist/rss/SIG=130mjmh8m/*http://marketrealist.com/2017/02/how-apples-iphone-has-been-driving-sprints-postpaid-upgrades/?utm_source=yahoo&utm_medium=feed,49.74,2017-02-28 15:38:00,49.67,2017-02-28 15:58:00,49.53,2017-02-28 16:38:00,49.47,2017-02-28 17:39:00
8,8,2017-02-28 14:46:06,Wireless carriers are quietly influencing what videos you watch on your phone,http://us.rd.yahoo.com/finance/external/cbsm/rss/SIG=11iiumket/*http://www.marketwatch.com/News/Story/Story.aspx?guid=FA8390A6-FDB9-11E6-BC2E-6B4D3D6AE6A4&siteid=yhoof2,49.73,2017-02-28 14:46:00,49.56,2017-02-28 15:06:00,49.76,2017-02-28 15:46:00,49.55,2017-02-28 16:46:00
9,9,2017-02-28 14:30:02,"The Zacks Analyst Blog Highlights: Disney, Verizon, Chevron, Broadcom and PNC Financial",http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/news/zacks-analyst-blog-highlights-disney-143002115.html,50.0,2017-02-28 14:30:00,49.74,2017-02-28 14:50:00,49.71,2017-02-28 15:30:00,49.56,2017-02-28 16:30:00
10,0,2017-02-27 20:38:00,"Near an All-Time Low, Is J.C. Penney a Buy?",http://us.rd.yahoo.com/finance/external/mfool/rss/SIG=12n73tir0/*http://www.fool.com/investing/2017/02/27/near-an-all-time-low-is-jc-penney-a-buy.aspx,49.92,2017-02-27 20:38:00,49.92,2017-02-27 20:58:00,49.93,2017-02-27 21:00:00,49.93,2017-02-27 21:00:00
11,1,2017-02-27 19:55:56,Wireless carrier stocks fall amid budding price war in unlimited data,http://us.rd.yahoo.com/finance/external/cbsm/rss/SIG=11iiumket/*http://www.marketwatch.com/News/Story/Story.aspx?guid=E400EBE8-B316-446D-B613-F2282F13F469&siteid=yhoof2,49.85,2017-02-27 19:56:00,49.85,2017-02-27 20:15:00,49.91,2017-02-27 20:56:00,49.93,2017-02-27 21:00:00
12,2,2017-02-27 19:19:05,T-Mobile Reports 4th-Quarter 2016 Results With Strong Subscriber Growth,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/news/t-mobile-reports-4th-quarter-191905658.html,49.85,2017-02-27 19:19:00,49.83,2017-02-27 19:40:00,49.85,2017-02-27 20:19:00,49.93,2017-02-27 21:00:00
13,3,2017-02-27 19:07:42,"AT&T Fires Latest Salvo In 'Unlimited' War Vs. Sprint, T-Mobile, Verizon",http://us.rd.yahoo.com/finance/external/investors/rss/SIG=1300g8nmv/*http://www.investors.com/news/technology/att-sweetens-unlimited-data-deals-vs-sprint-t-mobile/,49.87,2017-02-27 19:08:00,49.82,2017-02-27 19:28:00,49.83,2017-02-27 20:08:00,49.93,2017-02-27 21:00:00
14,4,2017-02-27 17:27:00,Walls Fargo analyst: Why we're optimistic on retail,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/video/walls-fargo-analyst-why-were-172700141.html,49.94,2017-02-27 17:27:00,49.9,2017-02-27 17:48:00,49.96,2017-02-27 18:27:00,49.8,2017-02-27 19:26:00
15,5,2017-02-27 17:20:11,"AT&T doubles down on unlimited data, leverages DirecTV toward wireless",http://us.rd.yahoo.com/finance/external/bizj/rss/SIG=136pujpj0/*http://www.bizjournals.com/dallas/news/2017/02/27/at-t-doubles-down-on-unlimited-data-leverages.html?ana=yahoo,49.89,2017-02-27 17:20:00,49.93,2017-02-27 17:40:00,49.95,2017-02-27 18:20:00,49.84,2017-02-27 19:20:00
16,6,2017-02-27 16:01:00,AT&T cuts price of unlimited mobile data plan,http://us.rd.yahoo.com/finance/news/rss/story/*http://sg.finance.yahoo.com/news/t-cuts-price-unlimited-mobile-160100054.html,50.0,2017-02-27 16:01:00,49.96,2017-02-27 16:21:00,49.95,2017-02-27 17:01:00,49.9,2017-02-27 18:01:00
