,Unnamed: 0,Dates,Headlines,Links,Last0,TradeTime0,Last20,TradeTime20,Last60,TradeTime60,Last120,TradeTime120
0,0,2017-02-28 20:55:13,Target pledges to reinvest in business after weak quarter,http://us.rd.yahoo.com/finance/news/rss/story/*http://sg.finance.yahoo.com/news/target-misses-street-4q-forecasts-113729782.html,57.99,2017-02-28 20:55:00,58.32,2017-02-28 21:00:00,58.32,2017-02-28 21:00:00,58.32,2017-02-28 21:00:00
1,1,2017-02-28 20:55:13,Target pledges to reinvest in business after weak quarter,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/news/target-misses-street-4q-forecasts-113729530.html,57.99,2017-02-28 20:55:00,58.32,2017-02-28 21:00:00,58.32,2017-02-28 21:00:00,58.32,2017-02-28 21:00:00
2,2,2017-02-28 17:22:43,Buffett explains why Wells Fargo mishandled its accounts scandal,http://us.rd.yahoo.com/finance/external/bizj/rss/SIG=12qv2bfq8/*http://www.bizjournals.com/sanfrancisco/news/2017/02/28/buffett-wells-fargo-brk-wfc.html?ana=yahoo,57.84,2017-02-28 17:23:00,57.81,2017-02-28 17:43:00,58.01,2017-02-28 18:23:00,57.99,2017-02-28 19:23:00
3,3,2017-02-28 17:06:12,What Drove Nordstrom?s Earnings in Fiscal 4Q16?,http://us.rd.yahoo.com/finance/external/marketrealist/rss/SIG=129t1c0jo/*http://marketrealist.com/2017/02/drove-nordstroms-earnings-fiscal-4q16/?utm_source=yahoo&utm_medium=feed,58.03,2017-02-28 17:06:00,57.76,2017-02-28 17:26:00,58.04,2017-02-28 18:06:00,58.03,2017-02-28 19:06:00
4,4,2017-02-28 16:53:00,FRN Variable Rate Fix,http://us.rd.yahoo.com/finance/news/rss/story/*http://uk.finance.yahoo.com/news/frn-variable-rate-fix-165300886.html,58.01,2017-02-28 16:53:00,57.95,2017-02-28 17:13:00,57.97,2017-02-28 17:53:00,58.09,2017-02-28 18:52:00
5,5,2017-02-28 16:46:00,"A Memorable 2017, But Not in a Good Way; Why It Could Be Year of Retail Bankruptcies",http://us.rd.yahoo.com/finance/external/tsmfe/rss/SIG=1447jn2bo/*https://www.thestreet.com/story/14013732/1/a-memorable-2017-but-not-in-a-good-way-why-it-could-be-year-of-retail-bankruptcies.html?puc=yahoo&cm_ven=YAHOO,58.01,2017-02-28 16:46:00,58.03,2017-02-28 17:06:00,57.83,2017-02-28 17:46:00,58.07,2017-02-28 18:46:00
6,6,2017-02-28 16:41:48,Why Trump's budget math doesn't add up,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/news/why-trumps-budget-math-doesnt-add-up-164148167.html,58.0,2017-02-28 16:42:00,58.04,2017-02-28 17:02:00,57.81,2017-02-28 17:42:00,58.07,2017-02-28 18:42:00
7,7,2017-02-28 15:26:00,Wells Fargo to Target Millennials With Online Robo-Adviser,http://us.rd.yahoo.com/finance/external/tsmfe/rss/SIG=13co4aotv/*https://www.thestreet.com/story/14019195/1/wells-fargo-to-target-millennials-with-online-robo-adviser.html?puc=yahoo&cm_ven=YAHOO,57.96,2017-02-28 15:26:00,58.11,2017-02-28 15:46:00,58.05,2017-02-28 16:26:00,57.76,2017-02-28 17:26:00
8,8,2017-02-28 14:52:01,"CORRECTED: Wells Fargo robo-adviser to target young, first-time investors",http://us.rd.yahoo.com/finance/news/rss/story/*http://sg.finance.yahoo.com/news/wells-fargo-robo-adviser-target-121702040.html,57.85,2017-02-28 14:52:00,58.04,2017-02-28 15:12:00,58.18,2017-02-28 15:52:00,58.01,2017-02-28 16:52:00
9,9,2017-02-28 14:47:37,"Wells Fargo robo-adviser to target young, first-time investors",http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/news/wells-fargo-robo-adviser-target-120000448.html,57.94,2017-02-28 14:48:00,57.97,2017-02-28 15:08:00,58.14,2017-02-28 15:48:00,58.01,2017-02-28 16:48:00
