,Unnamed: 0,Dates,Headlines,Links,Last0,TradeTime0,Last20,TradeTime20,Last60,TradeTime60,Last120,TradeTime120
0,0,2017-02-28 20:55:13,Target pledges to reinvest in business after weak quarter,http://us.rd.yahoo.com/finance/news/rss/story/*http://sg.finance.yahoo.com/news/target-misses-street-4q-forecasts-113729782.html,70.9,2017-02-28 20:55:00,70.93,2017-02-28 21:00:00,70.93,2017-02-28 21:00:00,70.93,2017-02-28 21:00:00
1,1,2017-02-28 20:55:13,Target pledges to reinvest in business after weak quarter,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/news/target-misses-street-4q-forecasts-113729530.html,70.9,2017-02-28 20:55:00,70.93,2017-02-28 21:00:00,70.93,2017-02-28 21:00:00,70.93,2017-02-28 21:00:00
2,2,2017-02-28 20:52:14,Why Target Is Mimicking Wal-Mart?s Pricing Plan,http://us.rd.yahoo.com/finance/external/bloomberg/rss/SIG=1321coa1n/*https://www.bloomberg.com/news/videos/2017-02-28/why-target-is-mimicking-wal-mart-s-pricing-plan?cmpid=yhoo.headline,70.91,2017-02-28 20:52:00,70.93,2017-02-28 21:00:00,70.93,2017-02-28 21:00:00,70.93,2017-02-28 21:00:00
3,3,2017-02-28 19:05:27,Target Can't Win Using Walmart's Playbook,http://us.rd.yahoo.com/finance/external/bloomberg/rss/SIG=1344tb0rn/*https://www.bloomberg.com/gadfly/articles/2017-02-28/target-earnings-walmart-s-playbook-won-t-work?cmpid=yhoo.headline,70.86,2017-02-28 19:05:00,70.83,2017-02-28 19:25:00,70.69,2017-02-28 20:05:00,70.93,2017-02-28 21:00:00
4,4,2017-02-28 18:05:00,3 Lessons From Warren Buffett's Decision to Dump Wal-Mart,http://us.rd.yahoo.com/finance/external/mfool/rss/SIG=132si1enb/*http://www.fool.com/investing/2017/02/28/3-lessons-from-warren-buffetts-decision-to-dump-wa.aspx,70.6,2017-02-28 18:05:00,70.76,2017-02-28 18:25:00,70.86,2017-02-28 19:05:00,70.69,2017-02-28 20:05:00
5,5,2017-02-28 17:37:03,Bill to let Wal-Mart and Target sell more booze survives bloody fight in Colorado Legislature,http://us.rd.yahoo.com/finance/external/bizj/rss/SIG=138vealtg/*http://www.bizjournals.com/denver/news/2017/02/27/bill-to-let-wal-mart-and-target-sell-more-booze.html?ana=yahoo,70.55,2017-02-28 17:37:00,70.71,2017-02-28 17:57:00,70.75,2017-02-28 18:37:00,70.82,2017-02-28 19:37:00
6,6,2017-02-28 17:27:05,Walmart Launches Grocery Price War: Can It Take on Aldi?,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/news/walmart-launches-grocery-price-war-172705718.html,70.56,2017-02-28 17:27:00,70.65,2017-02-28 17:48:00,70.83,2017-02-28 18:27:00,70.86,2017-02-28 19:28:00
7,7,2017-02-28 17:07:00,Sam?s Club Launches Nationwide ?Meals from Members? Campaign to Support Feeding America®,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/news/sam-club-launches-nationwide-meals-170700356.html,70.66,2017-02-28 17:07:00,70.56,2017-02-28 17:27:00,70.58,2017-02-28 18:07:00,70.77,2017-02-28 19:07:00
8,8,2017-02-28 17:06:12,What Drove Nordstrom?s Earnings in Fiscal 4Q16?,http://us.rd.yahoo.com/finance/external/marketrealist/rss/SIG=129t1c0jo/*http://marketrealist.com/2017/02/drove-nordstroms-earnings-fiscal-4q16/?utm_source=yahoo&utm_medium=feed,70.72,2017-02-28 17:06:00,70.57,2017-02-28 17:26:00,70.57,2017-02-28 18:06:00,70.79,2017-02-28 19:06:00
9,9,2017-02-28 16:55:30,Will Target CEO Brian Cornell Be Fired?,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/news/target-ceo-brian-cornell-fired-165530333.html,70.73,2017-02-28 16:55:00,70.71,2017-02-28 17:15:00,70.73,2017-02-28 17:55:00,70.88,2017-02-28 18:55:00
