,Unnamed: 0,Dates,Headlines,Links,Last0,TradeTime0,Last20,TradeTime20,Last60,TradeTime60,Last120,TradeTime120
0,0,2017-02-28 20:55:13,Target pledges to reinvest in business after weak quarter,http://us.rd.yahoo.com/finance/news/rss/story/*http://sg.finance.yahoo.com/news/target-misses-street-4q-forecasts-113729782.html,81.47,2017-02-28 20:55:00,81.32,2017-02-28 21:00:00,81.32,2017-02-28 21:00:00,81.32,2017-02-28 21:00:00
1,1,2017-02-28 20:55:13,Target pledges to reinvest in business after weak quarter,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/news/target-misses-street-4q-forecasts-113729530.html,81.47,2017-02-28 20:55:00,81.32,2017-02-28 21:00:00,81.32,2017-02-28 21:00:00,81.32,2017-02-28 21:00:00
2,2,2017-02-28 20:10:00,ExxonMobil: Will Analyst Day Save the Day?,http://us.rd.yahoo.com/finance/external/barrons/rss/SIG=132uacksg/*http://blogs.barrons.com/stockstowatchtoday/2017/02/28/exxonmobil-will-analyst-day-save-the-day/?mod=yahoobarrons&ru=yahoo,81.16,2017-02-28 20:10:00,81.1,2017-02-28 20:29:00,81.32,2017-02-28 21:00:00,81.32,2017-02-28 21:00:00
3,3,2017-02-28 20:00:00,ExxonMobil Adds State-of-the-Art Tire Testing Capabilities to Shanghai Technology Center,http://us.rd.yahoo.com/finance/news/rss/story/*http://au.finance.yahoo.com/news/exxonmobil-adds-state-art-tire-200000832.html,81.13,2017-02-28 20:00:00,81.14,2017-02-28 20:19:00,81.32,2017-02-28 21:00:00,81.32,2017-02-28 21:00:00
4,4,2017-02-28 19:19:46,Further Growth In Permian Production Expected For 2017,http://us.rd.yahoo.com/finance/external/mfool/rss/SIG=131qqfgg0/*http://www.fool.com/investing/2017/02/28/further-growth-in-permian-production-expected-for.aspx,81.15,2017-02-28 19:20:00,81.2,2017-02-28 19:40:00,81.14,2017-02-28 20:19:00,81.32,2017-02-28 21:00:00
5,5,2017-02-28 19:17:49,"Exxon, Chevron?s next moves? Dividend and spending plans",http://us.rd.yahoo.com/finance/external/cbsm/rss/SIG=11iiumket/*http://www.marketwatch.com/News/Story/Story.aspx?guid=F7A832FC-FDD6-11E6-BC2E-6B4D3D6AE6A4&siteid=yhoof2,81.19,2017-02-28 19:18:00,81.21,2017-02-28 19:38:00,81.12,2017-02-28 20:18:00,81.32,2017-02-28 21:00:00
6,6,2017-02-28 18:04:12,EXXON MOBIL CORP Financials,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/q/is?s=xom,81.33,2017-02-28 18:04:00,81.25,2017-02-28 18:24:00,81.28,2017-02-28 19:05:00,81.13,2017-02-28 20:04:00
7,7,2017-02-28 17:06:12,What Drove Nordstrom?s Earnings in Fiscal 4Q16?,http://us.rd.yahoo.com/finance/external/marketrealist/rss/SIG=129t1c0jo/*http://marketrealist.com/2017/02/drove-nordstroms-earnings-fiscal-4q16/?utm_source=yahoo&utm_medium=feed,81.36,2017-02-28 17:07:00,81.29,2017-02-28 17:26:00,81.36,2017-02-28 18:06:00,81.29,2017-02-28 19:06:00
8,8,2017-02-28 16:46:00,"A Memorable 2017, But Not in a Good Way; Why It Could Be Year of Retail Bankruptcies",http://us.rd.yahoo.com/finance/external/tsmfe/rss/SIG=1447jn2bo/*https://www.thestreet.com/story/14013732/1/a-memorable-2017-but-not-in-a-good-way-why-it-could-be-year-of-retail-bankruptcies.html?puc=yahoo&cm_ven=YAHOO,81.41,2017-02-28 16:46:00,81.38,2017-02-28 17:05:00,81.25,2017-02-28 17:46:00,81.29,2017-02-28 18:46:00
9,9,2017-02-28 16:41:48,Why Trump's budget math doesn't add up,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/news/why-trumps-budget-math-doesnt-add-up-164148167.html,81.45,2017-02-28 16:42:00,81.4,2017-02-28 17:02:00,81.24,2017-02-28 17:42:00,81.35,2017-02-28 18:42:00
10,0,2017-02-27 20:38:00,"Near an All-Time Low, Is J.C. Penney a Buy?",http://us.rd.yahoo.com/finance/external/mfool/rss/SIG=12n73tir0/*http://www.fool.com/investing/2017/02/27/near-an-all-time-low-is-jc-penney-a-buy.aspx,81.55,2017-02-27 20:38:00,81.62,2017-02-27 20:58:00,81.54,2017-02-27 21:00:00,81.54,2017-02-27 21:00:00
11,1,2017-02-27 19:55:00,Exxon Could Make Inroads in Algerian Offshore Oil,http://us.rd.yahoo.com/finance/external/investopedia/rss/SIG=12gnm6u2m/*http://www.investopedia.com/news/algeria-talking-exxon-joint-offshore-ops-xom/?partner=YahooSA,81.58,2017-02-27 19:55:00,81.6,2017-02-27 20:15:00,81.55,2017-02-27 20:55:00,81.54,2017-02-27 21:00:00
12,2,2017-02-27 17:27:00,Walls Fargo analyst: Why we're optimistic on retail,http://us.rd.yahoo.com/finance/news/rss/story/*http://finance.yahoo.com/video/walls-fargo-analyst-why-were-172700141.html,81.61,2017-02-27 17:27:00,81.49,2017-02-27 17:47:00,81.5,2017-02-27 18:27:00,81.5,2017-02-27 19:26:00
